SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
AMBO,2025-10-09 09:55:00,4.61,5.21,5.21,3.57,2275168.0,15.0
AMBO,2025-10-09 09:56:00,4.91,4.925,4.9319,4.9171,1913.0,1.0
AMBO,2025-10-09 09:57:00,4.91,4.9265,4.9265,4.91,2503.0,1.0
AMBO,2025-10-09 09:58:00,4.9102,4.9102,4.9102,4.9102,1000.0,1.0
AMBO,2025-10-09 09:59:00,4.92,4.92,4.94,4.92,3999.0,1.0
AMBO,2025-10-09 10:00:00,4.9002,4.9399,5.0,4.98,5203.0,1.0
AMBO,2025-10-09 10:01:00,4.96,4.975,4.975,4.97,1822.0,1.0
AMBO,2025-10-09 10:02:00,4.9898,4.9898,5.0699,5.0528,12463.0,1.0
AMBO,2025-10-09 10:03:00,5.0,5.0,5.0299,5.0,3275.0,1.0
AMBO,2025-10-09 10:04:00,5.0056,5.015,5.0248,5.015,2599.0,1.0
AMBO,2025-10-09 10:05:00,5.0142,5.0142,5.04,5.04,1000.0,1.0
AMBO,2025-10-09 10:06:00,4.9721,5.0,5.0,4.9721,4631.0,1.0
AMBO,2025-10-09 10:07:00,4.98,4.98,5.0265,5.005,2670.0,1.0
AMBO,2025-10-09 10:08:00,4.98,4.98,5.0,4.99,2495.0,1.0
AMBO,2025-10-09 10:09:00,4.95,4.9601,4.97,4.95,3562.0,1.0
AMBO,2025-10-09 10:10:00,4.91,4.93,4.93,4.91,422.0,1.0
AMBO,2025-10-09 10:11:00,4.9195,4.9195,4.93,4.9216,560.0,1.0
AMBO,2025-10-09 10:12:00,4.9205,4.93,4.93,4.9205,1400.0,1.0
AMBO,2025-10-09 10:13:00,4.92,4.92,4.93,4.92,962.0,1.0
AMBO,2025-10-09 10:14:00,4.9501,4.96,4.9908,4.9908,3346.0,1.0
AMBO,2025-10-09 10:15:00,4.9615,5.0337,5.04,4.9615,1206.0,1.0
AMBO,2025-10-09 10:16:00,5.0199,5.02,5.0744,5.0537,6163.0,1.0
