stock,timestamp,open,high,low,close,volume
AMZN,2025-08-01 19:45:00,214.9000,215.1500,214.8800,215.0900,42572
AMZN,2025-08-01 19:30:00,214.8500,214.9600,214.8500,214.9000,19798
AMZN,2025-08-01 19:15:00,214.9700,215.0000,214.8500,214.8500,18463
AMZN,2025-08-01 19:00:00,214.9681,215.0000,214.9000,214.9700,24502
AMZN,2025-08-01 18:45:00,214.9900,215.0000,214.8500,214.9700,45685
AMZN,2025-08-01 18:30:00,215.0700,215.1500,214.9600,214.9803,24606
AMZN,2025-08-01 18:15:00,215.0700,215.1500,215.0200,215.0700,20198
AMZN,2025-08-01 18:00:00,215.1200,215.1300,215.0500,215.0900,23739
AMZN,2025-08-01 17:45:00,215.0000,272.6347,199.3234,215.1200,41952
AMZN,2025-08-01 17:30:00,215.0500,272.6347,196.6162,272.6347,43481
AMZN,2025-08-01 17:15:00,214.9999,215.1000,214.9500,215.0500,55030
AMZN,2025-08-01 17:00:00,215.0800,215.1400,214.9200,214.9750,45247
AMZN,2025-08-01 16:45:00,215.0300,232.0200,214.7500,215.0500,90324
AMZN,2025-08-01 16:30:00,215.1399,215.2500,214.7500,215.0200,2081066
AMZN,2025-08-01 16:15:00,214.8500,215.8069,214.7500,215.1200,177555
AMZN,2025-08-01 16:00:00,214.8550,215.1250,213.8900,214.8500,15563837
AMZN,2025-08-01 15:45:00,214.9600,216.0000,214.7400,214.8550,6666660
AMZN,2025-08-01 15:30:00,214.8750,215.4100,214.4900,214.9646,2862756
AMZN,2025-08-01 15:15:00,214.6500,215.2200,214.6100,214.8750,2443723
AMZN,2025-08-01 15:00:00,214.5300,214.9900,214.4850,214.6501,2232011
AMZN,2025-08-01 14:45:00,215.1350,215.1653,214.2200,214.5499,2513701
AMZN,2025-08-01 14:30:00,214.2300,215.1700,214.1500,215.1350,3568798
AMZN,2025-08-01 14:15:00,212.8300,214.2900,212.8200,214.2492,2594002
AMZN,2025-08-01 14:00:00,213.6250,214.0600,212.8000,212.8380,3060228
AMZN,2025-08-01 13:45:00,214.1300,214.2500,213.4500,213.6300,2625883
AMZN,2025-08-01 13:30:00,214.3393,214.7600,213.8300,214.1300,2561081
AMZN,2025-08-01 13:15:00,214.8400,214.9446,214.0100,214.3400,2613312
AMZN,2025-08-01 13:00:00,214.8700,215.2100,214.3900,214.8500,2632161
AMZN,2025-08-01 12:45:00,215.6000,215.8600,214.8100,214.8700,2525250
AMZN,2025-08-01 12:30:00,216.0500,216.2500,215.4900,215.6056,2097959
AMZN,2025-08-01 12:15:00,215.7100,216.3300,215.6401,216.0600,2433064
AMZN,2025-08-01 12:00:00,215.9100,216.4900,215.2800,215.7000,2874117
AMZN,2025-08-01 11:45:00,215.9950,216.3500,215.7300,215.9200,2279852
AMZN,2025-08-01 11:30:00,215.2793,216.0700,215.0900,215.9900,3112784
AMZN,2025-08-01 11:15:00,216.0150,216.1699,215.1900,215.2750,4517591
AMZN,2025-08-01 11:00:00,216.3600,216.5550,215.7300,216.0299,5879876
AMZN,2025-08-01 10:45:00,218.1600,218.4150,216.1100,216.3600,4205740
AMZN,2025-08-01 10:30:00,219.0950,219.6400,217.9401,218.1408,3671723
AMZN,2025-08-01 10:15:00,219.3900,220.2800,217.0000,219.0950,4336273
AMZN,2025-08-01 10:00:00,218.4300,219.9700,215.8700,219.3950,6077348
AMZN,2025-08-01 09:45:00,219.6200,220.4399,217.7800,218.4174,6909103
AMZN,2025-08-01 09:30:00,217.2100,220.3000,215.2500,219.6000,17294571
AMZN,2025-08-01 09:15:00,217.1600,234.1100,216.4000,217.0200,1312341
AMZN,2025-08-01 09:00:00,216.0650,217.3000,215.2100,217.0300,625219
AMZN,2025-08-01 08:45:00,217.1600,217.1600,215.5500,216.1100,367745
AMZN,2025-08-01 08:30:00,215.6000,217.4000,215.0500,217.1000,781028
AMZN,2025-08-01 08:15:00,214.9500,234.1100,214.8300,215.5400,369619
AMZN,2025-08-01 08:00:00,216.1300,234.1100,213.6600,214.9500,1179848
AMZN,2025-08-01 07:45:00,214.7800,216.0000,214.7100,215.8700,217812
AMZN,2025-08-01 07:30:00,216.2100,216.3600,214.6200,214.8000,248862
AMZN,2025-08-01 07:15:00,215.8900,216.3700,215.5100,216.2100,108947
AMZN,2025-08-01 07:00:00,215.5900,216.5000,215.4300,215.9000,191384
AMZN,2025-08-01 06:45:00,215.2400,215.7500,214.5200,215.4600,88335
AMZN,2025-08-01 06:30:00,216.1300,216.1500,215.1000,215.2000,58600
AMZN,2025-08-01 06:15:00,216.4300,216.5000,215.7800,216.1000,52283
AMZN,2025-08-01 06:00:00,216.3600,216.6000,215.7000,216.5000,70877
AMZN,2025-08-01 05:45:00,216.4600,216.5200,216.2400,216.3900,44323
AMZN,2025-08-01 05:30:00,215.5900,216.6000,215.5900,216.4900,94235
AMZN,2025-08-01 05:15:00,215.3600,215.9500,214.5200,215.5900,110301
AMZN,2025-08-01 05:00:00,215.2000,215.4900,214.8000,215.2600,74020
AMZN,2025-08-01 04:45:00,214.3400,215.4100,214.3000,215.1900,96002
AMZN,2025-08-01 04:30:00,215.5800,215.7400,213.6000,214.3300,203788
AMZN,2025-08-01 04:15:00,217.1100,217.1300,215.5400,215.5900,132896
AMZN,2025-08-01 04:00:00,229.5400,229.5400,215.9400,217.1500,219639
AMZN,2025-07-31 19:45:00,218.5700,219.0000,218.2301,218.6099,300201
AMZN,2025-07-31 19:30:00,218.7000,218.7800,218.3300,218.5400,155716
AMZN,2025-07-31 19:15:00,218.9500,219.0000,218.2000,218.7000,280366
AMZN,2025-07-31 19:00:00,219.3303,219.5000,217.9900,218.9500,320190
AMZN,2025-07-31 18:45:00,218.5000,219.3300,217.8800,219.3300,264023
AMZN,2025-07-31 18:30:00,218.6000,219.9900,217.7500,218.3600,462272
AMZN,2025-07-31 18:15:00,217.2900,218.5500,217.2100,218.5000,277797
AMZN,2025-07-31 18:00:00,216.2500,218.5500,216.2500,217.3000,826350
AMZN,2025-07-31 17:45:00,220.4250,220.9900,215.5000,216.2900,1677561
AMZN,2025-07-31 17:30:00,225.9000,225.9000,216.9000,220.3900,2375102
AMZN,2025-07-31 17:15:00,227.7700,233.4800,224.9400,225.8217,793455
AMZN,2025-07-31 17:00:00,229.1000,237.3327,219.5741,227.8500,643808
AMZN,2025-07-31 16:45:00,226.6800,234.1100,220.3740,229.1000,1014454
AMZN,2025-07-31 16:30:00,226.2700,234.1100,225.5995,226.7000,1559160
AMZN,2025-07-31 16:15:00,228.6500,234.6896,222.5300,226.0300,2961423
AMZN,2025-07-31 16:00:00,234.1000,242.0000,227.0000,228.6491,22711107
AMZN,2025-07-31 15:45:00,234.7500,235.1500,233.9500,234.1100,7855008
AMZN,2025-07-31 15:30:00,233.4800,234.8500,233.4707,234.7400,3304926
AMZN,2025-07-31 15:15:00,234.1500,234.1600,233.3800,233.4500,3014853
AMZN,2025-07-31 15:00:00,234.1700,234.4700,234.0000,234.1650,2078049
AMZN,2025-07-31 14:45:00,234.5400,234.6959,234.1000,234.1505,1688815
AMZN,2025-07-31 14:30:00,234.3600,235.0000,234.2900,234.5300,1776786
AMZN,2025-07-31 14:15:00,233.6300,234.4300,233.2000,234.3700,1994598
AMZN,2025-07-31 14:00:00,233.3100,234.1000,233.2950,233.6700,1584922
AMZN,2025-07-31 13:45:00,234.7200,234.8700,233.1100,233.3325,2043043
AMZN,2025-07-31 13:30:00,234.4550,234.9100,234.1900,234.7100,1464123
AMZN,2025-07-31 13:15:00,235.2708,235.4300,234.2000,234.4700,1728085
AMZN,2025-07-31 13:00:00,234.9900,235.5000,234.8500,235.2700,1564525
AMZN,2025-07-31 12:45:00,235.3300,235.3699,234.6000,234.9800,2115066
AMZN,2025-07-31 12:30:00,236.3050,236.5300,235.2200,235.3300,2393987
AMZN,2025-07-31 12:15:00,234.9600,236.4387,234.8700,236.3100,2900863
AMZN,2025-07-31 12:00:00,234.7500,235.0000,234.4500,234.9500,2254562
AMZN,2025-07-31 11:45:00,234.3050,234.7800,233.9800,234.7550,2191251
AMZN,2025-07-31 11:30:00,233.1600,234.4100,233.1300,234.3050,2357234
AMZN,2025-07-31 11:15:00,232.1700,235.5500,231.9200,233.1700,2202373
AMZN,2025-07-31 11:00:00,232.1800,235.5500,232.0604,232.1550,2215099
AMZN,2025-07-31 10:45:00,232.2100,232.9900,232.0200,232.2000,1984526
AMZN,2025-07-31 10:30:00,232.5500,232.9800,231.5000,232.2100,2809818
AMZN,2025-07-31 10:15:00,233.4350,233.8050,232.3600,232.5400,2589007
AMZN,2025-07-31 10:00:00,233.5400,234.3700,233.2700,233.4350,4114496
AMZN,2025-07-31 09:45:00,232.1650,234.2300,231.4200,233.5586,3997015
AMZN,2025-07-31 09:30:00,235.7700,235.9200,231.4000,232.1650,9277510
AMZN,2025-07-31 09:15:00,236.9000,236.9700,235.1600,235.7200,311686
AMZN,2025-07-31 09:00:00,237.0100,237.6400,236.7500,236.9700,178132
AMZN,2025-07-31 08:45:00,237.3800,237.4000,236.5500,237.1000,109899
AMZN,2025-07-31 08:30:00,237.1900,237.6500,237.0000,237.4100,151690
