SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
AQMS,2025-10-14 15:05:00,15.48,16.9,32.9,9.91,27836221.0,1.0,
AQMS,2025-10-14 15:06:00,30.5,31.3,31.4456,31.17,33075.0,1.0,
AQMS,2025-10-14 15:07:00,31.5633,32.2399,32.5,31.7521,48646.0,1.0,
AQMS,2025-10-14 15:08:00,30.95,31.07,31.4999,31.225,9867.0,1.0,
AQMS,2025-10-14 15:09:00,30.9,31.22,31.395,31.395,22976.0,1.0,
AQMS,2025-10-14 15:10:00,31.7405,32.0999,34.27,34.25,116795.0,1.0,
AQMS,2025-10-14 15:11:00,33.089,33.3332,35.44,35.02,102526.0,1.0,bought
AQMS,2025-10-14 15:12:00,33.55,34.75,34.9169,33.7436,44872.0,1.0,closed
AQMS,2025-10-14 15:13:00,33.6101,34.11,34.3,33.834,47705.0,1.0,
AQMS,2025-10-14 15:14:00,33.86,34.2788,36.69,36.2101,148540.0,1.0,
AQMS,2025-10-14 15:15:00,34.27,37.57,37.57,35.5623,136677.0,1.0,
AQMS,2025-10-14 15:16:00,33.97,34.79,34.88,34.11,52574.0,1.0,
AQMS,2025-10-14 15:17:00,33.8,34.1742,34.7,34.31,35415.0,1.0,
AQMS,2025-10-14 15:18:00,33.92,34.2571,34.46,34.036,19256.0,1.0,
AQMS,2025-10-14 15:19:00,34.15,34.2501,34.7999,34.24,21484.0,1.0,
AQMS,2025-10-14 15:20:00,33.69,34.0255,34.2,33.83,15984.0,1.0,
AQMS,2025-10-14 15:21:00,32.62,34.1362,34.1599,32.9,50558.0,1.0,
AQMS,2025-10-14 15:22:00,32.59,33.285,33.5499,33.0,15908.0,1.0,
AQMS,2025-10-14 15:23:00,32.38,32.47,33.0,32.6772,17696.0,1.0,
AQMS,2025-10-14 15:24:00,33.0,33.53,33.7454,33.35,17508.0,1.0,
AQMS,2025-10-14 15:25:00,32.57,33.2986,33.3999,33.2999,20007.0,1.0,
AQMS,2025-10-14 15:26:00,32.6,33.21,33.2534,33.12,13103.0,1.0,
AQMS,2025-10-14 15:27:00,32.9517,33.0813,34.04,33.8025,25499.0,1.0,
AQMS,2025-10-14 15:28:00,33.55,33.7282,33.91,33.57,40334.0,1.0,
AQMS,2025-10-14 15:29:00,33.91,34.31,35.0,34.6799,77171.0,1.0,
AQMS,2025-10-14 15:30:00,32.88,33.8193,33.9751,33.498,37089.0,1.0,
AQMS,2025-10-14 15:31:00,33.0,33.35,33.59,33.35,20396.0,1.0,
AQMS,2025-10-14 15:32:00,32.05,32.8823,33.008,32.14,28205.0,1.0,
AQMS,2025-10-14 15:33:00,32.92,33.02,36.98,36.98,162547.0,1.0,
AQMS,2025-10-14 15:34:00,35.5,35.8913,36.52,36.4399,69824.0,1.0,
AQMS,2025-10-14 15:35:00,34.02,36.0,36.35,34.8238,57794.0,1.0,
AQMS,2025-10-14 15:36:00,34.71,34.855,35.8,35.194,27802.0,1.0,
AQMS,2025-10-14 15:37:00,37.41,37.4955,39.4,38.71,98914.0,1.0,
AQMS,2025-10-14 15:38:00,34.0,36.615,37.0,36.03,82843.0,1.0,
AQMS,2025-10-14 15:39:00,35.02,37.02,37.24,36.2,56162.0,1.0,
AQMS,2025-10-14 15:40:00,35.5941,36.1999,36.48,35.9999,28120.0,1.0,
AQMS,2025-10-14 15:41:00,35.3,36.2526,36.43,35.3,25083.0,1.0,
AQMS,2025-10-14 15:42:00,34.45,35.2,35.3293,35.0,38490.0,1.0,
AQMS,2025-10-14 15:43:00,35.13,35.1567,35.5,35.4875,12993.0,1.0,
AQMS,2025-10-14 15:44:00,35.35,35.8999,35.93,35.47,15024.0,1.0,
AQMS,2025-10-14 15:45:00,33.8,35.465,35.5516,34.01,83264.0,1.0,
AQMS,2025-10-14 15:46:00,33.0,34.145,34.39,33.769,34449.0,1.0,
AQMS,2025-10-14 15:47:00,33.29,33.31,33.97,33.59,28302.0,1.0,
AQMS,2025-10-14 15:48:00,33.38,33.62,33.8959,33.53,10717.0,1.0,
AQMS,2025-10-14 15:49:00,33.83,34.11,34.16,34.0266,13207.0,1.0,
AQMS,2025-10-14 15:50:00,32.49,33.91,33.95,32.54,50110.0,1.0,
AQMS,2025-10-14 15:51:00,30.0,32.0,32.0,31.3,108583.0,1.0,
AQMS,2025-10-14 15:52:00,30.01,31.69,32.18,30.115,62323.0,1.0,
AQMS,2025-10-14 15:53:00,30.0,30.1,31.11,30.55,28111.0,1.0,
