SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
ARBK,2025-10-06 09:30:00,0.585,0.6621,0.95,0.418,285886950.0,15.0
ARBK,2025-10-06 09:45:00,0.61,0.6225,0.92,0.8503,41328098.0,15.0
ARBK,2025-10-06 10:00:00,0.7227,0.850235,0.888,0.744,36951619.0,15.0
ARBK,2025-10-06 10:15:00,0.72321,0.7429,0.8364,0.8185,19357196.0,15.0
ARBK,2025-10-06 10:30:00,0.7657,0.8211,0.93,0.82005,26410676.0,15.0
ARBK,2025-10-06 10:45:00,0.7967,0.82,0.8576,0.8412,12974097.0,15.0
ARBK,2025-10-06 11:00:00,0.77,0.843449,0.9,0.78801,16285701.0,15.0
ARBK,2025-10-06 11:15:00,0.755,0.7889,0.796,0.7813,6150532.0,15.0
ARBK,2025-10-06 11:30:00,0.7311,0.782299,0.7939,0.7342,4461114.0,15.0
ARBK,2025-10-06 11:45:00,0.7106,0.7342,0.754,0.7506,4593599.0,15.0
ARBK,2025-10-06 12:00:00,0.713,0.751,0.7675,0.726,2483244.0,15.0
ARBK,2025-10-06 12:15:00,0.7243,0.72675,0.7557,0.74,2095718.0,15.0
ARBK,2025-10-06 12:30:00,0.7406,0.742,0.88,0.8389,9181469.0,15.0
ARBK,2025-10-06 12:45:00,0.799,0.8385,0.8441,0.8262,9355971.0,15.0
ARBK,2025-10-06 13:00:00,0.7558,0.825199,0.8395,0.768,6532078.0,15.0
ARBK,2025-10-06 13:15:00,0.7601,0.768,0.8111,0.8074,5091976.0,15.0
ARBK,2025-10-06 13:30:00,0.7997,0.8069,0.868,0.8398,7172916.0,15.0
ARBK,2025-10-06 13:45:00,0.8138,0.84,0.9,0.8954,8770815.0,15.0
ARBK,2025-10-06 14:00:00,0.83,0.896299,0.9101,0.8474,6825126.0,15.0
ARBK,2025-10-06 14:15:00,0.842,0.8473,0.95,0.924401,7352914.0,15.0
ARBK,2025-10-06 14:30:00,0.87,0.9266,0.9297,0.8705,5729708.0,15.0
ARBK,2025-10-06 14:45:00,0.85,0.8709,0.908,0.8606,4412761.0,15.0
ARBK,2025-10-06 15:00:00,0.83,0.8603,0.8655,0.8548,2513424.0,15.0
ARBK,2025-10-06 15:15:00,0.8351,0.855,0.8799,0.8763,3040779.0,15.0
ARBK,2025-10-06 15:30:00,0.845,0.8763,0.8888,0.8596,3877025.0,15.0
