SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
BBAI,2025-10-10 10:33:00,7.55,7.56,8.75,7.49,80811866.0,15.0
BBAI,2025-10-10 10:34:00,8.71,8.7338,8.74,8.73,94468.0,1.0
BBAI,2025-10-10 10:35:00,8.73,8.75,8.75,8.7324,91028.0,1.0
BBAI,2025-10-10 10:36:00,8.64,8.6754,8.6754,8.6465,220085.0,1.0
BBAI,2025-10-10 10:37:00,8.7511,8.7575,8.775,8.765,112154.0,1.0
BBAI,2025-10-10 10:38:00,8.76,8.76,8.77,8.765,30655.0,1.0
BBAI,2025-10-10 10:39:00,8.73,8.7347,8.7476,8.735,55246.0,1.0
BBAI,2025-10-10 10:40:00,8.74,8.7589,8.76,8.75,199300.0,1.0
BBAI,2025-10-10 10:41:00,8.72,8.755,8.755,8.7216,115141.0,1.0
BBAI,2025-10-10 10:42:00,8.6939,8.702,8.71,8.695,78232.0,1.0
BBAI,2025-10-10 10:43:00,8.6601,8.6619,8.69,8.6865,218337.0,1.0
BBAI,2025-10-10 10:44:00,8.6601,8.675,8.69,8.6841,145860.0,1.0
BBAI,2025-10-10 10:45:00,8.66,8.6788,8.686,8.675,109569.0,1.0
BBAI,2025-10-10 10:46:00,8.66,8.675,8.69,8.6645,220575.0,1.0
BBAI,2025-10-10 10:47:00,8.64,8.6638,8.675,8.6401,157074.0,1.0
BBAI,2025-10-10 10:48:00,8.67,8.6764,8.69,8.6785,126310.0,1.0
BBAI,2025-10-10 10:49:00,8.59,8.6599,8.6599,8.6034,503307.0,1.0
BBAI,2025-10-10 10:50:00,8.55,8.625,8.63,8.555,452908.0,1.0
BBAI,2025-10-10 10:51:00,8.5822,8.605,8.615,8.59,272977.0,1.0
BBAI,2025-10-10 10:52:00,8.53,8.575,8.575,8.545,843043.0,1.0
BBAI,2025-10-10 10:53:00,8.564,8.585,8.605,8.5998,243134.0,1.0
BBAI,2025-10-10 10:54:00,8.58,8.605,8.61,8.585,173471.0,1.0
BBAI,2025-10-10 10:55:00,8.64,8.6601,8.69,8.65,407946.0,1.0
BBAI,2025-10-10 10:56:00,8.64,8.67,8.67,8.6535,202869.0,1.0
BBAI,2025-10-10 10:57:00,8.6301,8.6652,8.67,8.6457,267992.0,1.0
BBAI,2025-10-10 10:58:00,8.41,8.55,8.56,8.4243,809943.0,1.0
BBAI,2025-10-10 10:59:00,8.31,8.44,8.445,8.34,659276.0,1.0
BBAI,2025-10-10 11:00:00,8.29,8.3811,8.39,8.2956,410899.0,1.0
BBAI,2025-10-10 11:01:00,8.18,8.2833,8.3,8.1801,451974.0,1.0
BBAI,2025-10-10 11:02:00,8.13,8.225,8.2399,8.14,484275.0,1.0
BBAI,2025-10-10 11:03:00,8.125,8.14,8.2399,8.23,591067.0,1.0
