SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
BJDX,2025-10-10 09:39:00,2.95,3.0,3.29,3.28,487673.0,15.0
BJDX,2025-10-10 09:40:00,3.13,3.13,3.1395,3.13,3054.0,1.0
BJDX,2025-10-10 09:41:00,3.11,3.14,3.14,3.12,5505.0,1.0
BJDX,2025-10-10 09:42:00,3.0001,3.001,3.0749,3.04,2115.0,1.0
BJDX,2025-10-10 09:43:00,3.03,3.03,3.0763,3.05,905.0,1.0
BJDX,2025-10-10 09:44:00,3.0001,3.04,3.04,3.015,15881.0,1.0
BJDX,2025-10-10 09:45:00,2.97,3.0,3.0,2.9703,9545.0,1.0
BJDX,2025-10-10 09:46:00,2.9501,2.97,2.97,2.9501,1755.0,1.0
BJDX,2025-10-10 09:47:00,2.9,2.9395,2.95,2.9,9375.0,1.0
BJDX,2025-10-10 09:48:00,2.905,2.9091,2.95,2.945,5688.0,1.0
BJDX,2025-10-10 09:49:00,2.9001,2.919,2.919,2.9001,1011.0,1.0
BJDX,2025-10-10 09:50:00,2.905,2.9088,2.91,2.905,4125.0,1.0
BJDX,2025-10-10 09:51:00,2.9,2.9,2.91,2.9035,5238.0,1.0
BJDX,2025-10-10 09:52:00,2.9,2.905,2.905,2.9,1886.0,1.0
BJDX,2025-10-10 09:53:00,2.86,2.87,2.88,2.875,8370.0,1.0
BJDX,2025-10-10 09:54:00,2.8701,2.8701,2.88,2.8704,2126.0,1.0
BJDX,2025-10-10 09:55:00,2.8708,2.8708,2.8886,2.8729,4645.0,1.0
BJDX,2025-10-10 09:56:00,2.86,2.87,2.87,2.87,5652.0,1.0
BJDX,2025-10-10 09:57:00,2.87,2.87,2.8702,2.8702,8400.0,1.0
BJDX,2025-10-10 09:58:00,2.85,2.861,2.87,2.8626,11728.0,1.0
BJDX,2025-10-10 09:59:00,2.86,2.86,2.87,2.87,3300.0,1.0
BJDX,2025-10-10 10:00:00,2.8776,2.8776,2.8776,2.8776,125.0,1.0
BJDX,2025-10-10 10:01:00,2.8765,2.8765,2.9,2.9,3897.0,1.0
BJDX,2025-10-10 10:02:00,2.905,2.909,2.91,2.91,1282.0,1.0
BJDX,2025-10-10 10:03:00,2.91,2.91,2.93,2.91,5592.0,1.0
BJDX,2025-10-10 10:04:00,2.9101,2.918,2.93,2.93,2048.0,1.0
BJDX,2025-10-10 10:05:00,2.91,2.92,2.94,2.91,5035.0,1.0
BJDX,2025-10-10 10:06:00,2.9,2.9001,2.905,2.9,5281.0,1.0
BJDX,2025-10-10 10:07:00,2.88,2.89,2.89,2.88,5307.0,1.0
BJDX,2025-10-10 10:08:00,2.88,2.89,2.89,2.88,602.0,1.0
BJDX,2025-10-10 10:09:00,2.88,2.88,2.89,2.89,1875.0,1.0
BJDX,2025-10-10 10:10:00,2.8935,2.9,2.9,2.8935,3600.0,1.0
BJDX,2025-10-10 10:11:00,2.895,2.895,2.9,2.9,1100.0,1.0
BJDX,2025-10-10 10:12:00,2.909,2.909,2.92,2.915,4509.0,1.0
BJDX,2025-10-10 10:13:00,2.93,2.9301,2.9599,2.95,8484.0,1.0
BJDX,2025-10-10 10:14:00,2.93,2.9468,2.96,2.9316,5068.0,1.0
BJDX,2025-10-10 10:15:00,2.9201,2.9201,2.9565,2.9565,250.0,1.0
BJDX,2025-10-10 10:16:00,2.9211,2.9384,2.9384,2.9211,795.0,1.0
BJDX,2025-10-10 10:17:00,2.9213,2.9232,2.94,2.94,382.0,1.0
BJDX,2025-10-10 10:18:00,2.915,2.915,2.919,2.919,700.0,1.0
BJDX,2025-10-10 10:19:00,2.91,2.9101,2.9199,2.91,2151.0,1.0
BJDX,2025-10-10 10:20:00,2.88,2.89,2.89,2.8856,8782.0,1.0
BJDX,2025-10-10 10:21:00,2.875,2.88,2.8886,2.8763,13051.0,1.0
BJDX,2025-10-10 10:22:00,2.8701,2.8708,2.8708,2.8701,3000.0,1.0
BJDX,2025-10-10 10:23:00,2.8512,2.87,2.87,2.855,7037.0,1.0
BJDX,2025-10-10 10:24:00,2.84,2.855,2.855,2.84,10029.0,1.0
BJDX,2025-10-10 10:25:00,2.83,2.835,2.8397,2.8397,2627.0,1.0
BJDX,2025-10-10 10:26:00,2.8301,2.835,2.84,2.84,11336.0,1.0
BJDX,2025-10-10 10:27:00,2.8313,2.8398,2.84,2.8348,3368.0,1.0
BJDX,2025-10-10 10:28:00,2.78,2.83,2.83,2.8,20370.0,1.0
BJDX,2025-10-10 10:29:00,2.78,2.78,2.8,2.78,6618.0,1.0
BJDX,2025-10-10 10:30:00,2.785,2.785,2.83,2.83,2757.0,1.0
BJDX,2025-10-10 10:31:00,2.807,2.82,2.82,2.807,2800.0,1.0
BJDX,2025-10-10 10:32:00,2.8001,2.81,2.82,2.82,5054.0,1.0
BJDX,2025-10-10 10:33:00,2.7908,2.7965,2.8,2.8,7418.0,1.0
BJDX,2025-10-10 10:34:00,2.79,2.8051,2.82,2.8065,5896.0,1.0
BJDX,2025-10-10 10:35:00,2.8003,2.8003,2.8098,2.8098,580.0,1.0
BJDX,2025-10-10 10:36:00,2.8,2.801,2.805,2.801,1246.0,1.0
BJDX,2025-10-10 10:37:00,2.78,3.0,3.29,3.28,904946.0,1.0
BJDX,2025-10-10 10:38:00,2.799,2.8,2.8,2.799,2567.0,1.0
BJDX,2025-10-10 10:39:00,2.74,2.7903,2.7903,2.74,16896.0,1.0
BJDX,2025-10-10 10:40:00,2.7492,2.77,2.77,2.7492,1687.0,1.0
BJDX,2025-10-10 10:41:00,2.74,2.7499,2.75,2.7409,3422.0,1.0
BJDX,2025-10-10 10:42:00,2.76,2.7601,2.78,2.7799,2736.0,1.0
BJDX,2025-10-10 10:44:00,2.77,2.7799,2.7799,2.7799,5056.0,1.0
BJDX,2025-10-10 10:45:00,2.7781,2.7781,2.7781,2.7781,180.0,1.0
BJDX,2025-10-10 10:46:00,2.78,2.78,2.78,2.78,452.0,1.0
BJDX,2025-10-10 10:47:00,2.74,3.0,3.29,3.28,946460.0,1.0
BJDX,2025-10-10 10:48:00,2.8001,2.81,2.81,2.81,5200.0,1.0
BJDX,2025-10-10 10:49:00,2.74,3.0,3.29,3.28,961012.0,1.0
BJDX,2025-10-10 10:50:00,2.74,3.0,3.29,3.28,963196.0,1.0
