SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
BOXL,2025-09-22 09:30:00,5.53,6.06,10.15,9.5062,28636655.0,15.0
BOXL,2025-09-22 09:45:00,7.51,9.5,9.6299,7.6199,15621715.0,15.0
BOXL,2025-09-22 10:00:00,7.01,7.57,8.33,7.9433,8283888.0,15.0
BOXL,2025-09-22 10:15:00,6.65,7.9256,8.43,7.0,8508065.0,15.0
BOXL,2025-09-22 10:30:00,6.81,7.015,7.38,7.17,4901295.0,15.0
BOXL,2025-09-22 10:45:00,6.3001,7.18,7.29,6.34,5230110.0,15.0
BOXL,2025-09-22 11:00:00,5.62,6.34,6.43,5.84,3826379.0,15.0
BOXL,2025-09-22 11:15:00,5.62,5.85,6.19,5.73,3157151.0,15.0
BOXL,2025-09-22 11:30:00,5.07,5.735,5.83,5.13,2809890.0,15.0
BOXL,2025-09-22 11:45:00,4.8901,5.1399,5.34,5.285,2142073.0,15.0
BOXL,2025-09-22 12:00:00,4.94,5.29,5.32,5.0853,1223650.0,15.0
BOXL,2025-09-22 12:15:00,4.81,5.0809,5.14,5.095,1285291.0,15.0
BOXL,2025-09-22 12:30:00,4.94,5.0875,5.17,5.0209,788656.0,15.0
BOXL,2025-09-22 12:45:00,5.015,5.025,5.5299,5.32,2205967.0,15.0
BOXL,2025-09-22 13:00:00,5.11,5.3112,5.38,5.155,1051027.0,15.0
BOXL,2025-09-22 13:15:00,5.0,5.155,5.24,5.125,743775.0,15.0
BOXL,2025-09-22 13:30:00,5.1,5.12,5.2783,5.1888,631726.0,15.0
BOXL,2025-09-22 13:45:00,5.18,5.185,5.64,5.2336,2498494.0,15.0
BOXL,2025-09-22 14:00:00,5.19,5.2221,6.1,5.8,3345042.0,15.0
BOXL,2025-09-22 14:15:00,5.53,5.792,5.92,5.8,3031190.0,15.0
BOXL,2025-09-22 14:30:00,5.6001,5.81,5.99,5.78,2691249.0,15.0
BOXL,2025-09-22 14:45:00,5.36,5.766,5.9,5.3847,2265776.0,15.0
BOXL,2025-09-22 15:00:00,5.36,5.385,5.8,5.51,1570650.0,15.0
BOXL,2025-09-22 15:15:00,4.94,5.51,5.7,4.9819,2068109.0,15.0
BOXL,2025-09-22 15:30:00,4.56,4.985,5.04,4.682,1803002.0,15.0
BOXL,2025-09-22 15:45:00,4.7,4.7,4.91,4.755,1760765.0,15.0
