SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
BTAI,2025-08-15 09:30:00,4.2901,4.65,4.72,4.4595,587939.0,15.0
BTAI,2025-08-15 09:45:00,4.1,4.46,4.47,4.3,265639.0,15.0
BTAI,2025-08-15 10:00:00,4.2,4.3,4.8397,4.65,720102.0,15.0
BTAI,2025-08-15 10:15:00,4.395,4.6201,4.6699,4.55,284995.0,15.0
BTAI,2025-08-15 10:30:00,4.5026,4.5381,4.8893,4.8025,339282.0,15.0
BTAI,2025-08-15 10:45:00,4.68,4.86,4.8686,4.7003,192806.0,15.0
BTAI,2025-08-15 11:00:00,4.64,4.7,4.97,4.82,446645.0,15.0
BTAI,2025-08-15 11:15:00,4.73,4.82,4.89,4.8098,223370.0,15.0
BTAI,2025-08-15 11:30:00,4.79,4.81,4.94,4.8,244015.0,15.0
BTAI,2025-08-15 11:45:00,4.78,4.8,4.8794,4.78,124501.0,15.0
BTAI,2025-08-15 12:00:00,4.65,4.78,4.79,4.72,151789.0,15.0
BTAI,2025-08-15 12:05:00,4.65,4.77,4.77,4.6942,51788.0,5.0
BTAI,2025-08-15 12:10:00,4.68,4.706,4.725,4.72,5515.0,5.0
BTAI,2025-08-15 12:15:00,4.67,4.705,4.7099,4.67,30240.0,5.0
BTAI,2025-08-15 12:30:00,4.7,4.7216,4.86,4.83,59264.0,15.0
BTAI,2025-08-15 12:45:00,4.8001,4.8015,5.2,5.0098,458409.0,15.0
BTAI,2025-08-15 13:00:00,4.9,5.01,5.01,4.98,155815.0,15.0
BTAI,2025-08-15 13:15:00,4.95,4.975,5.08,5.06,133310.0,15.0
BTAI,2025-08-15 13:30:00,5.0001,5.06,5.11,5.08,158459.0,15.0
BTAI,2025-08-15 13:45:00,5.0001,5.055,5.08,5.0478,58532.0,15.0
BTAI,2025-08-15 14:00:00,4.98,5.045,5.14,5.07,124484.0,15.0
BTAI,2025-08-15 14:15:00,4.95,5.07,5.1,5.06,103160.0,15.0
BTAI,2025-08-15 14:30:00,5.0,5.04,5.08,5.06,44982.0,15.0
BTAI,2025-08-15 14:45:00,5.035,5.06,5.18,5.16,125863.0,15.0
BTAI,2025-08-15 15:00:00,5.06,5.1599,5.16,5.1199,67194.0,15.0
BTAI,2025-08-15 15:15:00,5.09,5.12,5.21,5.14,114280.0,15.0
BTAI,2025-08-15 15:30:00,5.13,5.1492,5.35,5.24,349518.0,15.0
BTAI,2025-08-15 15:45:00,5.23,5.245,5.49,5.48,533937.0,15.0
BTAI,2025-08-15 16:00:00,5.4127,5.48,5.5,5.5,63802.0,15.0
BTAI,2025-08-15 16:15:00,5.45,5.5,5.68,5.61,52000.0,15.0
BTAI,2025-08-15 16:30:00,5.6,5.61,5.89,5.7502,122445.0,15.0
BTAI,2025-08-15 16:45:00,5.75,5.75,6.44,6.4,263227.0,15.0
