SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
BYND,2025-10-21 10:03:00,2.07,2.095,2.18,2.12,9266342.0,5.0,
BYND,2025-10-21 10:05:00,2.18,2.19,2.19,2.1892,29854.0,5.0,
BYND,2025-10-21 10:10:00,2.1101,2.115,2.12,2.115,20404.0,5.0,
BYND,2025-10-21 10:15:00,2.12,2.16,2.16,2.125,755353.0,5.0,
BYND,2025-10-21 10:20:00,2.0,2.0043,2.01,2.0001,316397.0,5.0,
BYND,2025-10-21 10:25:00,1.97,1.985,1.985,1.9771,163308.0,5.0,
BYND,2025-10-21 10:30:00,1.933159,1.935,1.95,1.94,72680.0,5.0,
BYND,2025-10-21 10:35:00,2.05,2.065,2.08,2.0798,752552.0,5.0,
BYND,2025-10-21 10:40:00,2.1,2.1,2.11,2.11,88924.0,5.0,
BYND,2025-10-21 10:45:00,2.04,2.05,2.0505,2.05,238254.0,5.0,
BYND,2025-10-21 10:50:00,2.02,2.0201,2.03,2.03,128458.0,5.0,
BYND,2025-10-21 10:55:00,2.01,2.02,2.02,2.015,18604.0,5.0,
BYND,2025-10-21 11:00:00,2.14,2.1454,2.1532,2.1426,223324.0,5.0,
BYND,2025-10-21 11:05:00,2.16,2.175,2.18,2.18,431152.0,5.0,
BYND,2025-10-21 11:10:00,2.15,2.155,2.16,2.1509,104750.0,5.0,
BYND,2025-10-21 11:15:00,2.19,2.2,2.2,2.1957,26042.0,5.0,
BYND,2025-10-21 11:20:00,2.16,2.165,2.17,2.165,40196.0,5.0,
BYND,2025-10-21 11:25:00,2.27,2.285,2.29,2.2799,393376.0,5.0,
BYND,2025-10-21 11:30:00,2.345,2.355,2.37,2.3599,620857.0,5.0,
BYND,2025-10-21 11:35:00,2.33,2.36,2.36,2.3312,958114.0,5.0,
BYND,2025-10-21 11:40:00,2.28,2.29,2.3,2.2858,121515.0,5.0,
BYND,2025-10-21 11:45:00,2.35,2.3597,2.36,2.3541,306929.0,5.0,
BYND,2025-10-21 11:50:00,2.41,2.415,2.42,2.4157,245232.0,5.0,
BYND,2025-10-21 11:55:00,2.35,2.3597,2.37,2.37,700188.0,5.0,
BYND,2025-10-21 12:00:00,2.35,2.355,2.36,2.355,191670.0,5.0,
BYND,2025-10-21 12:05:00,2.31,2.3192,2.33,2.315,561681.0,5.0,
BYND,2025-10-21 12:10:00,2.3144,2.315,2.33,2.325,360654.0,5.0,
BYND,2025-10-21 12:15:00,2.33,2.34,2.34,2.34,110506.0,5.0,
BYND,2025-10-21 12:20:00,2.36,2.375,2.38,2.3601,352644.0,5.0,
BYND,2025-10-21 12:25:00,2.41,2.4142,2.42,2.42,525144.0,5.0,
BYND,2025-10-21 12:30:00,2.57,2.57,2.59,2.59,1055149.0,5.0,
BYND,2025-10-21 12:35:00,2.651,2.67,2.67,2.665,599665.0,5.0,
BYND,2025-10-21 12:40:00,2.75,2.755,2.77,2.7699,1158896.0,5.0,
BYND,2025-10-21 12:45:00,2.625,2.6399,2.66,2.6597,580864.0,5.0,
BYND,2025-10-21 12:50:00,2.68,2.69,2.7,2.695,472536.0,5.0,
BYND,2025-10-21 12:55:00,2.66,2.695,2.7,2.675,699188.0,5.0,
BYND,2025-10-21 13:00:00,2.86,2.8756,2.88,2.87,919968.0,5.0,
BYND,2025-10-21 13:05:00,2.815,2.825,2.84,2.835,796229.0,5.0,
BYND,2025-10-21 13:10:00,2.82,2.8299,2.86,2.82,1608951.0,5.0,
BYND,2025-10-21 13:15:00,2.76,2.785,2.79,2.7698,875813.0,5.0,
BYND,2025-10-21 13:20:00,2.71,2.735,2.74,2.735,929421.0,5.0,
BYND,2025-10-21 13:25:00,2.62,2.7101,2.72,2.64,4020493.0,5.0,
BYND,2025-10-21 13:30:00,2.69,2.7014,2.77,2.7599,2594361.0,5.0,
BYND,2025-10-21 13:35:00,2.6,2.6,2.64,2.61,1528169.0,5.0,
BYND,2025-10-21 13:40:00,2.49,2.49,2.54,2.535,1871579.0,5.0,
BYND,2025-10-21 13:45:00,2.61,2.6101,2.66,2.635,2242498.0,5.0,
BYND,2025-10-21 13:50:00,2.71,2.735,2.74,2.725,1754883.0,5.0,
BYND,2025-10-21 13:55:00,2.71,2.72,2.74,2.7261,1148874.0,5.0,
BYND,2025-10-21 14:00:00,2.79,2.82,2.85,2.7976,3269421.0,5.0,
BYND,2025-10-21 14:05:00,2.69,2.709,2.71,2.6985,1422531.0,5.0,
BYND,2025-10-21 14:10:00,2.71,2.7493,2.77,2.7199,1626434.0,5.0,
BYND,2025-10-21 14:15:00,2.73,2.735,2.76,2.749,639990.0,5.0,
BYND,2025-10-21 14:20:00,2.8,2.8001,2.82,2.805,1189028.0,5.0,
BYND,2025-10-21 14:25:00,2.83,2.835,2.87,2.8445,1795332.0,5.0,
BYND,2025-10-21 14:30:00,2.8244,2.8299,2.85,2.835,879044.0,5.0,
BYND,2025-10-21 14:35:00,2.86,2.8665,2.93,2.915,4482509.0,5.0,bought
BYND,2025-10-21 14:40:00,2.79,2.845,2.85,2.8001,2593260.0,5.0,closed
BYND,2025-10-21 15:01:00,3.1,3.13,3.2,3.1181,10543798.0,5.0,
BYND,2025-10-21 15:05:00,3.15,3.16,3.2,3.185,1535079.0,5.0,
BYND,2025-10-21 15:10:00,3.28,3.285,3.36,3.3599,2360527.0,5.0,
BYND,2025-10-21 15:15:00,3.45,3.6,3.62,3.555,5942038.0,5.0,
BYND,2025-10-21 15:20:00,3.45,3.55,3.57,3.4502,3033891.0,5.0,
BYND,2025-10-21 15:25:00,3.37,3.39,3.5,3.46,2537183.0,5.0,
BYND,2025-10-21 15:30:00,3.54,3.555,3.58,3.55,1440539.0,5.0,
BYND,2025-10-21 15:35:00,3.5,3.5045,3.55,3.53,1581465.0,5.0,
BYND,2025-10-21 15:40:00,3.38,3.3899,3.42,3.3898,1374281.0,5.0,
BYND,2025-10-21 15:45:00,3.52,3.5312,3.57,3.54,1384077.0,5.0,
