SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
CGTX,2025-08-25 09:39:32.841581,3.12,3.165,3.6,3.49,4111729.0,15.0
CGTX,2025-08-25 09:45:33.188978,3.4501,3.482,3.52,3.5,92663.0,15.0
CGTX,2025-08-25 10:00:33.513098,3.42,3.45,3.52,3.5116,63047.0,15.0
CGTX,2025-08-25 10:15:33.970428,3.63,3.6551,3.67,3.6499,55109.0,15.0
CGTX,2025-08-25 10:30:34.799289,3.47,3.49,3.53,3.4707,51170.0,15.0
CGTX,2025-08-25 10:45:35.191001,3.31,3.353,3.3586,3.33,45342.0,15.0
CGTX,2025-08-25 11:00:36.213150,3.304,3.33,3.3599,3.326,28120.0,15.0
CGTX,2025-08-25 11:15:37.434381,3.36,3.365,3.38,3.369,14354.0,15.0
CGTX,2025-08-25 11:30:38.284021,3.29,3.295,3.315,3.315,12547.0,15.0
CGTX,2025-08-25 11:45:38.801383,3.3515,3.38,3.3895,3.3515,9710.0,15.0
CGTX,2025-08-25 12:00:39.798178,3.34,3.375,3.375,3.3489,24774.0,15.0
CGTX,2025-08-25 12:15:40.501914,3.4323,3.45,3.45,3.445,8530.0,15.0
CGTX,2025-08-25 12:30:41.314184,3.37,3.3974,3.4,3.4,53047.0,15.0
CGTX,2025-08-25 12:45:47.772905,3.42,3.42,3.43,3.42,11412.0,15.0
CGTX,2025-08-25 13:00:48.574224,3.17,3.185,3.1993,3.17,37095.0,15.0
CGTX,2025-08-25 13:15:49.936366,3.11,3.12,3.1481,3.13,9304.0,15.0
CGTX,2025-08-25 13:30:50.979385,3.07,3.0701,3.0788,3.0742,19288.0,15.0
CGTX,2025-08-25 13:45:51.398824,3.14,3.14,3.15,3.15,7902.0,15.0
CGTX,2025-08-25 14:00:52.392292,3.054,3.06,3.07,3.0699,20184.0,15.0
CGTX,2025-08-25 14:15:52.756171,3.13,3.13,3.14,3.135,25903.0,15.0
CGTX,2025-08-25 14:30:54.706465,3.2,3.2052,3.21,3.205,27410.0,15.0
CGTX,2025-08-25 14:45:55.030157,3.2,3.21,3.21,3.205,2300.0,15.0
CGTX,2025-08-25 15:00:56.636258,3.205,3.2103,3.22,3.205,13827.0,15.0
CGTX,2025-08-25 15:15:57.172149,3.165,3.18,3.18,3.165,9195.0,15.0
CGTX,2025-08-25 15:30:58.290009,3.14,3.1412,3.15,3.145,14612.0,15.0
CGTX,2025-08-25 15:45:59.041283,3.115,3.115,3.15,3.14,27857.0,15.0
CGTX,2025-08-25 16:01:00.035477,3.18,3.18,3.25,3.25,70139.0,15.0
