SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL
CISS,2025-10-07 09:40:00,3.07,3.22,3.83,2.21,26901298.0,15.0
CISS,2025-10-07 09:41:00,3.43,3.575,3.7099,3.4399,272397.0,1.0
CISS,2025-10-07 09:42:00,3.425,3.45,3.82,3.655,394435.0,1.0
CISS,2025-10-07 09:43:00,3.8301,3.88,4.2,4.01,1114473.0,1.0
CISS,2025-10-07 09:44:00,3.92,4.0,4.13,4.118,774852.0,1.0
CISS,2025-10-07 09:45:00,4.01,4.17,4.2999,4.0781,729858.0,1.0
CISS,2025-10-07 09:46:00,4.035,4.12,4.27,4.1832,840207.0,1.0
CISS,2025-10-07 09:47:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:48:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:49:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:50:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:51:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:52:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:53:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:54:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:55:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:56:00,4.29,4.4708,4.92,4.92,1387537.0,1.0
CISS,2025-10-07 09:57:00,5.17,5.41,5.8699,5.2905,1649717.0,1.0
CISS,2025-10-07 09:58:00,5.19,5.42,5.9399,5.8,1917294.0,1.0
CISS,2025-10-07 09:59:00,5.12,5.7826,5.82,5.3699,1414811.0,1.0
CISS,2025-10-07 10:00:00,4.64,5.3298,5.5593,4.77,1454105.0,1.0
CISS,2025-10-07 10:01:00,4.36,4.6501,4.86,4.36,425192.0,1.0
CISS,2025-10-07 10:03:00,4.36,4.6501,4.86,4.36,425192.0,1.0
CISS,2025-10-07 10:04:00,4.36,4.6501,4.86,4.36,425192.0,1.0
CISS,2025-10-07 10:05:00,4.36,4.6501,4.86,4.36,425192.0,1.0
