SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
CJET,2025-09-30 09:30:00,0.1661,0.1785,0.1808,0.17,67275303.0,15.0
CJET,2025-09-30 09:35:00,0.175,0.1798,0.1799,0.1776,169425.0,5.0
CJET,2025-09-30 09:40:00,0.1775,0.1775,0.1791,0.1785,390229.0,5.0
CJET,2025-09-30 09:45:00,0.1785,0.17909,0.1888,0.1818,166766.0,5.0
CJET,2025-09-30 09:50:00,0.18,0.1817,0.1818,0.18,133568.0,5.0
CJET,2025-09-30 09:55:00,0.18,0.18,0.181899,0.18144,123915.0,5.0
CJET,2025-09-30 10:00:00,0.18,0.1814,0.1814,0.18,156838.0,5.0
CJET,2025-09-30 10:05:00,0.179,0.18,0.1818,0.179,61116.0,5.0
CJET,2025-09-30 10:10:00,0.175,0.179,0.1793,0.1761,215567.0,5.0
CJET,2025-09-30 10:15:00,0.1761,0.176101,0.1818,0.1781,279049.0,5.0
CJET,2025-09-30 10:20:00,0.178,0.1781,0.1817,0.1792,14630.0,5.0
CJET,2025-09-30 10:25:00,0.1796,0.1796,0.1845,0.181211,529057.0,5.0
CJET,2025-09-30 10:30:00,0.1811,0.1814,0.1819,0.1819,33158.0,5.0
CJET,2025-09-30 10:35:00,0.1817,0.1818,0.1819,0.1819,67351.0,5.0
CJET,2025-09-30 10:40:00,0.1819,0.1819,0.1823,0.182001,210998.0,5.0
CJET,2025-09-30 10:45:00,0.1811,0.182,0.182,0.1812,74415.0,5.0
CJET,2025-09-30 10:50:00,0.18,0.1812,0.1818,0.1801,97926.0,5.0
CJET,2025-09-30 10:55:00,0.179,0.1808,0.1813,0.179,39632.0,5.0
CJET,2025-09-30 11:00:00,0.1778,0.179,0.180099,0.1791,148917.0,5.0
CJET,2025-09-30 11:05:00,0.1778,0.1799,0.1799,0.178,63757.0,5.0
CJET,2025-09-30 11:10:00,0.1779,0.178084,0.1798,0.179566,15556.0,5.0
CJET,2025-09-30 11:15:00,0.1779,0.1784,0.179732,0.1784,24112.0,5.0
CJET,2025-09-30 11:20:00,0.1774,0.1784,0.1791,0.1775,72726.0,5.0
CJET,2025-09-30 11:25:00,0.1756,0.178299,0.1783,0.1763,44548.0,5.0
CJET,2025-09-30 11:30:00,0.173,0.176,0.1769,0.173,198925.0,5.0
CJET,2025-09-30 11:35:00,0.1733,0.17415,0.177,0.1756,69141.0,5.0
CJET,2025-09-30 11:40:00,0.1755,0.177,0.1776,0.177,29737.0,5.0
CJET,2025-09-30 11:45:00,0.1759,0.1769,0.1769,0.176,48116.0,5.0
CJET,2025-09-30 11:50:00,0.1742,0.1759,0.1759,0.1742,70399.0,5.0
CJET,2025-09-30 11:55:00,0.1742,0.175305,0.176,0.1743,13695.0,5.0
CJET,2025-09-30 12:00:00,0.1743,0.1744,0.1759,0.175502,26163.0,5.0
CJET,2025-09-30 12:05:00,0.1742,0.1755,0.1755,0.1748,21452.0,5.0
CJET,2025-09-30 12:10:00,0.175,0.175,0.1756,0.1753,43264.0,5.0
CJET,2025-09-30 12:15:00,0.1733,0.1753,0.1756,0.1755,122027.0,5.0
CJET,2025-09-30 12:20:00,0.173301,0.1755,0.176,0.1754,29757.0,5.0
CJET,2025-09-30 12:25:00,0.1735,0.175001,0.175501,0.1749,84210.0,5.0
CJET,2025-09-30 12:30:00,0.1733,0.17415,0.1758,0.1746,12520.0,5.0
CJET,2025-09-30 12:35:00,0.1735,0.174,0.1757,0.1757,88427.0,5.0
CJET,2025-09-30 12:40:00,0.1712,0.1749,0.1758,0.1713,147298.0,5.0
