SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
COCH,2025-10-07 09:37:00,1.57,1.61,1.89,0.8068,71979655.0,15.0
COCH,2025-10-07 09:38:00,1.76,1.8,1.85,1.79,851356.0,1.0
COCH,2025-10-07 09:39:00,1.63,1.7512,1.82,1.779,1241337.0,1.0
COCH,2025-10-07 09:40:00,1.68,1.73,1.78,1.715,449336.0,1.0
COCH,2025-10-07 09:41:00,1.69,1.72,1.82,1.82,535078.0,1.0
COCH,2025-10-07 09:42:00,1.67,1.78,1.83,1.7199,1065043.0,1.0
COCH,2025-10-07 09:43:00,1.62,1.719,1.72,1.6201,483107.0,1.0
COCH,2025-10-07 09:44:00,1.61,1.6199,1.69,1.68,437718.0,1.0
COCH,2025-10-07 09:46:00,1.6502,1.6699,1.68,1.67,115027.0,1.0
COCH,2025-10-07 09:47:00,1.68,1.72,1.72,1.69,105218.0,1.0
COCH,2025-10-07 09:48:00,1.67,1.6794,1.7,1.6997,72116.0,1.0
COCH,2025-10-07 09:49:00,1.72,1.775,1.79,1.72,370553.0,1.0
COCH,2025-10-07 09:50:00,1.62,1.67,1.69,1.65,427463.0,1.0
COCH,2025-10-07 09:51:00,1.53,1.6687,1.67,1.55,728152.0,1.0
COCH,2025-10-07 09:52:00,1.54,1.5409,1.57,1.549,100247.0,1.0
COCH,2025-10-07 09:53:00,1.46,1.46,1.5,1.48,253101.0,1.0
COCH,2025-10-07 09:54:00,1.47,1.4708,1.49,1.48,77422.0,1.0
COCH,2025-10-07 09:55:00,1.49,1.5,1.52,1.5,148003.0,1.0
COCH,2025-10-07 09:56:00,1.49,1.495,1.5,1.49,83838.0,1.0
COCH,2025-10-07 09:57:00,1.49,1.495,1.52,1.4999,91446.0,1.0
COCH,2025-10-07 09:58:00,1.48,1.5,1.5089,1.4801,104360.0,1.0
COCH,2025-10-07 09:59:00,1.47,1.47,1.49,1.471,58112.0,1.0
COCH,2025-10-07 10:00:00,1.49,1.5,1.52,1.5113,58319.0,1.0
COCH,2025-10-07 10:01:00,1.5,1.5091,1.5191,1.51,63695.0,1.0
COCH,2025-10-07 10:02:00,1.51,1.5192,1.54,1.53,167942.0,1.0
COCH,2025-10-07 10:03:00,1.5,1.519,1.52,1.501,92933.0,1.0
COCH,2025-10-07 10:04:00,1.43,1.485,1.49,1.46,460873.0,1.0
COCH,2025-10-07 10:05:00,1.4504,1.455,1.49,1.485,172649.0,1.0
COCH,2025-10-07 10:06:00,1.49,1.49,1.52,1.515,98420.0,1.0
COCH,2025-10-07 10:07:00,1.51,1.5198,1.54,1.54,176095.0,1.0
COCH,2025-10-07 10:08:00,1.52,1.5487,1.55,1.5292,168635.0,1.0
COCH,2025-10-07 10:09:00,1.54,1.55,1.56,1.555,149834.0,1.0
COCH,2025-10-07 10:10:00,1.52,1.5407,1.55,1.531,155514.0,1.0
