SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
COOT,2025-10-15 14:46:00,3.22,3.2701,3.28,3.26,39477.0,1.0,
COOT,2025-10-15 14:47:00,3.26,3.268,3.27,3.27,2480.0,1.0,
COOT,2025-10-15 14:48:00,3.265,3.2698,3.28,3.28,8634.0,1.0,
COOT,2025-10-15 14:49:00,3.3043,3.3043,3.33,3.33,15678.0,1.0,
COOT,2025-10-15 14:50:00,3.31,3.3298,3.33,3.32,41455.0,1.0,
COOT,2025-10-15 14:51:00,3.3335,3.3335,3.36,3.3497,39517.0,1.0,bought
COOT,2025-10-15 14:52:00,3.35,3.3599,3.36,3.355,8514.0,1.0,closed
COOT,2025-10-15 14:53:00,3.37,3.375,3.4,3.395,22311.0,1.0,
COOT,2025-10-15 14:54:00,3.3508,3.4,3.4,3.3606,32953.0,1.0,
COOT,2025-10-15 14:55:00,3.37,3.41,3.41,3.38,41172.0,1.0,
COOT,2025-10-15 14:56:00,3.39,3.3902,3.43,3.42,60091.0,1.0,bought
COOT,2025-10-15 14:57:00,3.51,3.54,3.6,3.52,72972.0,1.0,
COOT,2025-10-15 14:58:00,3.51,3.51,3.54,3.519,68655.0,1.0,
COOT,2025-10-15 14:59:00,3.49,3.51,3.53,3.5202,41556.0,1.0,closed
COOT,2025-10-15 15:00:00,3.5102,3.515,3.58,3.5644,127292.0,1.0,bought
COOT,2025-10-15 15:01:00,3.4503,3.56,3.56,3.4848,108022.0,1.0,closed
COOT,2025-10-15 15:02:00,3.39,3.5,3.5,3.435,75335.0,1.0,
COOT,2025-10-15 15:03:00,3.38,3.4239,3.45,3.45,76089.0,1.0,
COOT,2025-10-15 15:04:00,3.43,3.435,3.49,3.47,53223.0,1.0,
COOT,2025-10-15 15:05:00,3.46,3.46,3.49,3.485,16681.0,1.0,
COOT,2025-10-15 15:06:00,3.43,3.465,3.47,3.435,29739.0,1.0,
COOT,2025-10-15 15:07:00,3.4309,3.455,3.456,3.45,20221.0,1.0,
COOT,2025-10-15 15:08:00,3.265,3.41,3.42,3.265,123998.0,1.0,
COOT,2025-10-15 15:09:00,3.35,3.35,3.38,3.38,40599.0,1.0,
COOT,2025-10-15 15:10:00,3.3309,3.34,3.35,3.34,12091.0,1.0,
COOT,2025-10-15 15:11:00,3.34,3.3425,3.345,3.3446,3558.0,1.0,
COOT,2025-10-15 15:12:00,3.3616,3.385,3.39,3.3758,15383.0,1.0,
COOT,2025-10-15 15:13:00,3.32,3.36,3.38,3.33,69256.0,1.0,
COOT,2025-10-15 15:14:00,3.28,3.3229,3.33,3.28,20947.0,1.0,
COOT,2025-10-15 15:15:00,3.26,3.275,3.34,3.34,37072.0,1.0,
COOT,2025-10-15 15:16:00,3.3028,3.3043,3.34,3.3219,16167.0,1.0,
