SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
DFLI,2025-10-03 09:30:00,1.33,1.46,2.28,1.07,339197088.0,15.0
DFLI,2025-10-03 09:45:00,1.36,1.459,1.51,1.485,12286738.0,15.0
DFLI,2025-10-03 10:00:00,1.36,1.48,1.5,1.364,6352908.0,15.0
DFLI,2025-10-03 10:15:00,1.33,1.36,1.4,1.3601,7149202.0,15.0
DFLI,2025-10-03 10:30:00,1.35,1.365,1.48,1.46,6073891.0,15.0
DFLI,2025-10-03 10:45:00,1.44,1.45,1.66,1.6535,15443535.0,15.0
DFLI,2025-10-03 11:00:00,1.5401,1.65,1.69,1.575,12014252.0,15.0
DFLI,2025-10-03 11:15:00,1.55,1.571,1.8,1.7803,15596730.0,15.0
DFLI,2025-10-03 11:30:00,1.73,1.7894,1.87,1.7887,15949663.0,15.0
DFLI,2025-10-03 11:45:00,1.75,1.785,1.89,1.825,12782108.0,15.0
DFLI,2025-10-03 12:00:00,1.76,1.8297,1.9599,1.7703,9437476.0,15.0
DFLI,2025-10-03 12:15:00,1.77,1.77,1.94,1.935,10081620.0,15.0
DFLI,2025-10-03 12:30:00,1.9,1.9345,2.2,2.1511,23167157.0,15.0
DFLI,2025-10-03 12:45:00,1.91,2.1555,2.28,1.935,28226884.0,15.0
DFLI,2025-10-03 13:00:00,1.76,1.93,1.97,1.92,17641104.0,15.0
DFLI,2025-10-03 13:15:00,1.8,1.92,1.99,1.879,11578085.0,15.0
DFLI,2025-10-03 13:30:00,1.68,1.875,1.885,1.7,9299452.0,15.0
DFLI,2025-10-03 13:45:00,1.67,1.7097,1.75,1.7099,5859543.0,15.0
DFLI,2025-10-03 14:00:00,1.701,1.7012,1.86,1.795,9096151.0,15.0
DFLI,2025-10-03 14:15:00,1.75,1.7951,1.94,1.9,6166809.0,15.0
DFLI,2025-10-03 14:30:00,1.84,1.9014,1.94,1.8801,6968524.0,15.0
DFLI,2025-10-03 14:45:00,1.86,1.89,1.97,1.9087,5814715.0,15.0
DFLI,2025-10-03 15:00:00,1.85,1.905,1.96,1.9187,4663867.0,15.0
DFLI,2025-10-03 15:15:00,1.76,1.92,1.93,1.8502,7171634.0,15.0
DFLI,2025-10-03 15:30:00,1.83,1.85,1.9,1.8449,3152988.0,15.0
