SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
ELAB,2025-08-25 09:41:40.645920,2.0,2.27,2.35,2.056,233891.0,15.0
ELAB,2025-08-25 09:45:41.008297,2.05,2.0999,2.1,2.0996,6104.0,15.0
ELAB,2025-08-25 10:00:43.249266,2.0,2.01,2.05,2.0101,43160.0,15.0
ELAB,2025-08-25 10:15:43.665309,2.005,2.005,2.01,2.01,200.0,15.0
ELAB,2025-08-25 10:30:44.468096,2.0301,2.0302,2.037,2.0301,1673.0,15.0
ELAB,2025-08-25 10:45:44.807559,2.07,2.1002,2.1002,2.09,1600.0,15.0
ELAB,2025-08-25 11:00:46.208912,2.12,2.12,2.12,2.12,200.0,15.0
ELAB,2025-08-25 11:15:46.772204,2.1301,2.1301,2.1301,2.1301,1700.0,15.0
ELAB,2025-08-25 11:30:47.795818,2.1403,2.16,2.16,2.1403,200.0,15.0
ELAB,2025-08-25 11:45:52.896446,2.12,2.12,2.12,2.12,200.0,15.0
ELAB,2025-08-25 12:00:54.727370,2.11,2.11,2.11,2.11,200.0,15.0
ELAB,2025-08-25 12:15:55.459713,2.0828,2.0828,2.0828,2.0828,1000.0,15.0
ELAB,2025-08-25 12:30:56.331214,2.0801,2.09,2.09,2.0801,2340.0,15.0
ELAB,2025-08-25 12:45:56.738516,2.0333,2.048,2.048,2.0333,3600.0,15.0
ELAB,2025-08-25 13:00:57.501859,2.08,2.08,2.08,2.08,100.0,15.0
ELAB,2025-08-25 13:15:57.817814,2.09,2.09,2.09,2.09,100.0,15.0
ELAB,2025-08-25 13:30:58.702443,2.1,2.1,2.11,2.11,300.0,15.0
ELAB,2025-08-25 13:45:59.397668,2.04,2.06,2.06,2.04,406.0,15.0
ELAB,2025-08-25 14:01:00.297468,2.0401,2.06,2.06,2.06,2150.0,15.0
ELAB,2025-08-25 14:15:00.730547,2.0,2.06,2.09,2.01,47771.0,15.0
ELAB,2025-08-25 14:30:04.060616,2.01,2.01,2.07,2.07,3700.0,15.0
ELAB,2025-08-25 14:45:05.096195,2.07,2.07,2.07,2.07,100.0,15.0
ELAB,2025-08-25 15:00:05.814529,2.0503,2.07,2.08,2.08,9604.0,15.0
ELAB,2025-08-25 15:15:07.069251,2.0511,2.07,2.1,2.09,9471.0,15.0
ELAB,2025-08-25 15:30:07.652129,2.095,2.095,2.1,2.1,300.0,15.0
ELAB,2025-08-25 15:45:08.910235,2.0801,2.09,2.09,2.0801,468.0,15.0
ELAB,2025-08-25 16:00:09.360716,2.1,2.1,2.1,2.1,896.0,15.0
