SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
ELAB,2025-10-14 09:39:00,9.02,9.69,10.42,5.2,13932287.0,1.0,
ELAB,2025-10-14 09:40:00,10.3601,10.44,10.82,10.7672,127835.0,1.0,
ELAB,2025-10-14 09:41:00,10.1301,11.065,11.13,10.43,185116.0,1.0,
ELAB,2025-10-14 09:42:00,10.0,10.325,10.3772,10.0,61337.0,1.0,
ELAB,2025-10-14 09:43:00,9.548,9.72,9.92,9.7,69737.0,1.0,
ELAB,2025-10-14 09:44:00,9.62,9.83,9.8436,9.7357,19977.0,1.0,
ELAB,2025-10-14 09:45:00,9.6,9.65,9.8,9.62,36744.0,1.0,
ELAB,2025-10-14 09:46:00,9.535,9.66,9.89,9.8404,32518.0,1.0,
ELAB,2025-10-14 09:47:00,9.68,9.78,10.07,10.02,83238.0,1.0,
ELAB,2025-10-14 09:48:00,10.0536,10.0536,10.3,10.218,52656.0,1.0,
ELAB,2025-10-14 09:49:00,9.87,10.21,10.24,9.945,50274.0,1.0,
ELAB,2025-10-14 09:50:00,9.82,9.87,10.01,9.9,25666.0,1.0,
ELAB,2025-10-14 09:51:00,9.8813,9.89,10.15,10.04,35048.0,1.0,bought
ELAB,2025-10-14 09:52:00,10.045,10.07,10.4,10.16,62819.0,1.0,
ELAB,2025-10-14 09:53:00,9.6,10.05,10.1391,9.9043,58503.0,1.0,closed
ELAB,2025-10-14 09:54:00,9.7,9.82,9.84,9.7794,14041.0,1.0,
ELAB,2025-10-14 09:55:00,9.6179,9.7,9.77,9.6179,20568.0,1.0,
ELAB,2025-10-14 09:56:00,9.6201,9.6328,9.77,9.73,7402.0,1.0,
ELAB,2025-10-14 09:57:00,9.35,9.425,9.57,9.45,24270.0,1.0,
ELAB,2025-10-14 09:58:00,9.12,9.33,9.45,9.3999,37123.0,1.0,
ELAB,2025-10-14 09:59:00,9.43,9.4913,9.7,9.43,28505.0,1.0,
ELAB,2025-10-14 10:00:00,9.386,9.6,9.6,9.44,8315.0,1.0,
ELAB,2025-10-14 10:01:00,9.201,9.39,9.4578,9.365,17475.0,1.0,
ELAB,2025-10-14 10:02:00,9.28,9.44,9.44,9.28,10385.0,1.0,
ELAB,2025-10-14 10:03:00,8.727,9.18,9.19,8.8,82024.0,1.0,
ELAB,2025-10-14 10:04:00,8.67,8.82,8.8689,8.7852,52010.0,1.0,
ELAB,2025-10-14 10:05:00,8.59,8.82,8.861,8.66,26701.0,1.0,
ELAB,2025-10-14 10:06:00,8.68,8.68,8.84,8.75,14624.0,1.0,
ELAB,2025-10-14 10:07:00,8.7,8.7,8.84,8.8396,19138.0,1.0,
ELAB,2025-10-14 10:08:00,8.9401,9.0916,9.18,9.08,31090.0,1.0,
ELAB,2025-10-14 10:09:00,8.98,9.13,9.18,8.98,26225.0,1.0,
ELAB,2025-10-14 10:10:00,8.9809,9.02,9.1,9.05,6902.0,1.0,
ELAB,2025-10-14 10:11:00,9.04,9.0873,9.27,9.2,27595.0,1.0,
ELAB,2025-10-14 10:12:00,9.1056,9.15,9.27,9.1829,20938.0,1.0,
ELAB,2025-10-14 10:13:00,9.01,9.1737,9.23,9.0101,28423.0,1.0,
ELAB,2025-10-14 10:14:00,9.01,9.04,9.09,9.0899,5173.0,1.0,
ELAB,2025-10-14 10:15:00,9.0301,9.06,9.23,9.23,16927.0,1.0,
ELAB,2025-10-14 10:16:00,9.2193,9.3,9.43,9.3081,17311.0,1.0,
ELAB,2025-10-14 10:17:00,9.26,9.35,9.35,9.3057,11485.0,1.0,
ELAB,2025-10-14 10:18:00,9.13,9.175,9.2505,9.19,6197.0,1.0,
ELAB,2025-10-14 10:19:00,9.05,9.0575,9.1606,9.155,15759.0,1.0,
ELAB,2025-10-14 10:20:00,9.12,9.1531,9.2499,9.12,14272.0,1.0,
ELAB,2025-10-14 10:21:00,9.1001,9.19,9.24,9.24,16907.0,1.0,
ELAB,2025-10-14 10:22:00,9.24,9.24,9.4,9.33,26905.0,1.0,
ELAB,2025-10-14 10:23:00,9.3112,9.39,9.43,9.4243,12204.0,1.0,
ELAB,2025-10-14 10:24:00,9.3601,9.4051,9.6,9.425,42283.0,1.0,
ELAB,2025-10-14 10:25:00,9.21,9.42,9.42,9.21,12890.0,1.0,
ELAB,2025-10-14 10:26:00,9.2582,9.2582,9.39,9.315,5294.0,1.0,
ELAB,2025-10-14 10:27:00,9.26,9.27,9.3701,9.29,3797.0,1.0,
ELAB,2025-10-14 10:28:00,9.135,9.17,9.225,9.14,7467.0,1.0,
ELAB,2025-10-14 10:29:00,9.14,9.1737,9.245,9.1869,8238.0,1.0,
ELAB,2025-10-14 10:30:00,9.14,9.29,9.29,9.2048,2374.0,1.0,
ELAB,2025-10-14 10:31:00,9.06,9.1967,9.1967,9.15,7012.0,1.0,
ELAB,2025-10-14 10:32:00,9.0718,9.13,9.22,9.164,7815.0,1.0,
ELAB,2025-10-14 10:33:00,9.07,9.1818,9.1818,9.11,2824.0,1.0,
ELAB,2025-10-14 10:34:00,9.07,9.1499,9.15,9.14,7604.0,1.0,
ELAB,2025-10-14 10:35:00,8.92,9.109,9.12,9.0799,24528.0,1.0,
ELAB,2025-10-14 10:36:00,8.92,8.97,9.02,8.92,7283.0,1.0,
ELAB,2025-10-14 10:37:00,8.8701,8.96,9.01,8.9,4673.0,1.0,
ELAB,2025-10-14 10:38:00,8.881,8.96,9.0099,8.93,7242.0,1.0,
ELAB,2025-10-14 10:39:00,8.79,8.9016,8.93,8.79,6756.0,1.0,
ELAB,2025-10-14 10:40:00,8.81,8.81,8.98,8.9757,5989.0,1.0,
ELAB,2025-10-14 10:41:00,8.96,8.96,9.0933,8.98,15696.0,1.0,
ELAB,2025-10-14 10:42:00,8.99,8.99,9.09,9.016,3902.0,1.0,
ELAB,2025-10-14 10:43:00,8.985,9.0,9.28,9.11,23311.0,1.0,
ELAB,2025-10-14 10:44:00,9.0,9.1256,9.24,9.06,6417.0,1.0,
ELAB,2025-10-14 10:45:00,8.92,9.06,9.0799,9.05,10560.0,1.0,
ELAB,2025-10-14 10:46:00,9.0,9.0742,9.0742,9.0077,6947.0,1.0,
ELAB,2025-10-14 10:47:00,8.84,8.982,9.0,8.94,12305.0,1.0,
ELAB,2025-10-14 10:48:00,8.7837,8.965,8.965,8.84,10077.0,1.0,
ELAB,2025-10-14 10:49:00,8.768,8.84,8.87,8.833,12800.0,1.0,
ELAB,2025-10-14 10:50:00,8.72,8.83,8.84,8.7207,16743.0,1.0,
ELAB,2025-10-14 10:51:00,8.72,8.7204,8.82,8.805,5758.0,1.0,
ELAB,2025-10-14 10:52:00,8.7,8.741,8.772,8.708,6976.0,1.0,
ELAB,2025-10-14 10:53:00,8.7,8.7332,8.8,8.7375,11714.0,1.0,
ELAB,2025-10-14 10:54:00,8.565,8.7095,8.74,8.63,13486.0,1.0,
ELAB,2025-10-14 10:55:00,8.62,8.63,8.68,8.64,14556.0,1.0,
ELAB,2025-10-14 10:56:00,8.4501,8.614,8.6396,8.51,34512.0,1.0,
ELAB,2025-10-14 10:57:00,8.32,8.48,8.6125,8.5992,64313.0,1.0,
ELAB,2025-10-14 10:58:00,8.57,8.6,8.6899,8.61,10896.0,1.0,
ELAB,2025-10-14 10:59:00,8.6,8.6,8.66,8.62,1842.0,1.0,
ELAB,2025-10-14 11:00:00,8.45,8.6682,8.6682,8.5,13985.0,1.0,
ELAB,2025-10-14 11:01:00,8.38,8.51,8.56,8.42,8760.0,1.0,
ELAB,2025-10-14 11:02:00,8.35,8.45,8.4999,8.35,13195.0,1.0,
ELAB,2025-10-14 11:03:00,8.19,8.3501,8.4087,8.28,33625.0,1.0,
ELAB,2025-10-14 11:04:00,8.2715,8.3,8.37,8.2715,10435.0,1.0,
ELAB,2025-10-14 11:05:00,8.27,8.27,8.4,8.365,9912.0,1.0,
ELAB,2025-10-14 11:06:00,8.3579,8.396,8.4027,8.3579,3442.0,1.0,
ELAB,2025-10-14 11:08:00,8.36,8.36,8.39,8.3812,2577.0,1.0,
ELAB,2025-10-14 11:09:00,8.35,8.37,8.375,8.35,6307.0,1.0,
ELAB,2025-10-14 11:10:00,8.25,8.31,8.31,8.25,6474.0,1.0,
ELAB,2025-10-14 11:11:00,8.31,8.31,8.31,8.31,200.0,1.0,
ELAB,2025-10-14 11:12:00,8.257,8.2613,8.27,8.257,1370.0,1.0,
ELAB,2025-10-14 11:13:00,8.22,8.22,8.22,8.22,432.0,1.0,
ELAB,2025-10-14 11:14:00,8.2799,8.2799,8.2799,8.2799,120.0,1.0,
ELAB,2025-10-14 11:15:00,8.3,8.3,8.34,8.34,1777.0,1.0,
ELAB,2025-10-14 11:16:00,8.38,8.38,8.38,8.38,100.0,1.0,
ELAB,2025-10-14 11:17:00,8.437,8.437,8.44,8.44,762.0,1.0,
