SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
ELBM,2025-10-13 11:05:00,3.27,3.3,6.1,1.65,114112279.0,1.0,
ELBM,2025-10-13 11:06:00,5.8,5.85,5.91,5.84,194593.0,1.0,
ELBM,2025-10-13 11:07:00,5.7007,5.71,5.8,5.72,102477.0,1.0,
ELBM,2025-10-13 11:08:00,5.64,5.72,5.76,5.7001,177043.0,1.0,
ELBM,2025-10-13 11:09:00,5.8,5.8501,5.91,5.9,234582.0,1.0,
ELBM,2025-10-13 11:10:00,5.93,6.0,6.1599,6.006,409531.0,1.0,bought
ELBM,2025-10-13 11:11:00,5.88,5.9286,5.94,5.895,75451.0,1.0,closed
ELBM,2025-10-13 11:12:00,5.63,5.68,5.78,5.768,139658.0,1.0,
ELBM,2025-10-13 11:13:00,5.71,5.74,5.7599,5.7209,61302.0,1.0,
ELBM,2025-10-13 11:14:00,5.795,5.81,5.84,5.83,55326.0,1.0,
ELBM,2025-10-13 11:15:00,5.71,5.805,5.86,5.7301,121912.0,1.0,
ELBM,2025-10-13 11:16:00,5.71,5.72,5.75,5.73,37710.0,1.0,
ELBM,2025-10-13 11:17:00,5.54,5.61,5.61,5.5799,91661.0,1.0,
ELBM,2025-10-13 11:18:00,5.4815,5.57,5.575621,5.56,193903.0,1.0,
ELBM,2025-10-13 11:19:00,5.58,5.6201,5.64,5.63,67369.0,1.0,
ELBM,2025-10-13 11:20:00,5.38,5.395,5.45,5.4406,68768.0,1.0,
ELBM,2025-10-13 11:21:00,5.485,5.505,5.5199,5.4899,54798.0,1.0,
ELBM,2025-10-13 11:22:00,5.57,5.5701,5.64,5.63,130757.0,1.0,
ELBM,2025-10-13 11:23:00,5.6701,5.677,5.82,5.7899,190903.0,1.0,
ELBM,2025-10-13 11:24:00,5.61,5.6811,5.7,5.65,94899.0,1.0,
ELBM,2025-10-13 11:25:00,5.62,5.62,5.68,5.665,32588.0,1.0,
