SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
GOOGL,2025-08-16 01:05:52.565945,203.0,203.84,205.28,204.5801,3159407.0,15.0
GOOGL,2025-08-16 01:05:52.875977,203.615,204.595,204.595,204.19,626529.0,15.0
GOOGL,2025-08-16 01:05:53.200906,203.83,204.17,206.12,205.92,1368812.0,15.0
GOOGL,2025-08-16 01:05:53.894258,205.4886,205.93,206.44,205.995,1134823.0,15.0
GOOGL,2025-08-16 01:05:54.339711,205.82,205.99,206.41,206.24,824651.0,15.0
GOOGL,2025-08-16 01:05:54.656762,205.54,206.24,206.3,205.62,689371.0,15.0
GOOGL,2025-08-16 01:05:54.940903,205.31,205.64,205.8,205.46,429931.0,15.0
GOOGL,2025-08-16 01:05:55.458434,204.765,205.453,205.54,204.9,441641.0,15.0
GOOGL,2025-08-16 01:05:55.830189,204.39,204.92,205.09,204.62,492861.0,15.0
GOOGL,2025-08-16 01:05:56.111865,204.54,204.93,204.94,204.63,173871.0,5.0
GOOGL,2025-08-16 01:05:56.509367,204.39,204.63,204.74,204.62,184439.0,5.0
GOOGL,2025-08-16 01:05:57.076153,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:05:57.814620,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:05:58.064600,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:05:58.362664,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:05:58.651493,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:05:59.060439,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:05:59.373262,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:05:59.777542,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:00.071885,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:00.443443,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:00.741169,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:01.131060,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:01.471730,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:01.739169,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:02.032553,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:02.423169,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:02.914144,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:03.271778,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:03.555171,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:03.862551,203.93,204.2,204.2,203.93,8814.0,15.0
GOOGL,2025-08-16 01:06:04.158121,203.93,204.2,204.2,203.93,8814.0,15.0
