stock,timestamp,open,high,low,close,volume
GOOGL,2025-08-01 19:55:00,188.4055,188.5200,188.2000,188.4000,3265
GOOGL,2025-08-01 19:50:00,188.4300,188.6400,188.3800,188.4064,785
GOOGL,2025-08-01 19:45:00,188.5300,188.7000,188.3800,188.4500,2480
GOOGL,2025-08-01 19:40:00,188.5300,188.7000,188.5100,188.6100,799
GOOGL,2025-08-01 19:35:00,188.5300,188.7100,188.5100,188.5300,943
GOOGL,2025-08-01 19:30:00,188.6000,188.7100,188.5000,188.5300,2942
GOOGL,2025-08-01 19:25:00,188.5600,188.7100,188.5000,188.6000,632
GOOGL,2025-08-01 19:20:00,188.6000,188.6500,188.5000,188.6500,2337
GOOGL,2025-08-01 19:15:00,188.7088,188.7100,188.5000,188.6000,382
GOOGL,2025-08-01 19:10:00,188.6700,188.9400,188.5000,188.7082,3063
GOOGL,2025-08-01 19:05:00,188.6700,188.9500,188.6400,188.6700,1065
GOOGL,2025-08-01 19:00:00,188.7100,188.9500,188.6500,188.6500,611
GOOGL,2025-08-01 18:55:00,188.6900,188.9288,188.6500,188.9288,1384
GOOGL,2025-08-01 18:50:00,188.7000,188.9000,188.6500,188.6900,2200
GOOGL,2025-08-01 18:45:00,188.7000,188.8100,188.6100,188.6500,2969
GOOGL,2025-08-01 18:40:00,188.7000,188.8600,188.6500,188.6900,629
GOOGL,2025-08-01 18:35:00,188.9000,188.9000,188.6400,188.8600,684
GOOGL,2025-08-01 18:30:00,188.6500,188.9000,188.6500,188.8300,2189
GOOGL,2025-08-01 18:25:00,188.8200,188.9000,188.6500,188.7300,1647
GOOGL,2025-08-01 18:20:00,188.8100,188.9000,188.7000,188.8200,2378
GOOGL,2025-08-01 18:15:00,188.8800,189.0100,188.7000,188.8900,1258
GOOGL,2025-08-01 18:10:00,188.9999,189.0000,188.6561,188.9600,8639
GOOGL,2025-08-01 18:05:00,189.0500,189.0500,188.9300,188.9500,567
GOOGL,2025-08-01 18:00:00,189.0000,189.0500,188.9500,188.9500,1183
GOOGL,2025-08-01 17:55:00,188.9100,189.1300,188.9000,189.0500,6645
GOOGL,2025-08-01 17:50:00,188.9500,188.9500,188.9000,188.9000,1465
GOOGL,2025-08-01 17:45:00,188.9000,189.0300,188.9000,188.9200,1219
GOOGL,2025-08-01 17:40:00,188.9800,189.0400,188.9500,189.0000,4386
GOOGL,2025-08-01 17:35:00,188.9900,189.0400,188.9000,188.9600,631
GOOGL,2025-08-01 17:30:00,188.9800,189.0600,188.9700,188.9700,1103
GOOGL,2025-08-01 17:25:00,188.9794,188.9800,182.1491,182.1491,1925
GOOGL,2025-08-01 17:20:00,188.9500,188.9800,182.1491,188.9800,1013
GOOGL,2025-08-01 17:15:00,188.9600,188.9600,188.9000,188.9600,1162
GOOGL,2025-08-01 17:10:00,188.8800,188.9800,183.3000,188.9500,865
GOOGL,2025-08-01 17:05:00,188.8200,189.1300,188.8100,188.8500,6095
GOOGL,2025-08-01 17:00:00,188.8400,188.9100,188.8000,188.8600,2586
GOOGL,2025-08-01 16:55:00,188.8700,188.8700,188.7800,188.8400,1755
GOOGL,2025-08-01 16:50:00,188.8400,189.1300,188.7800,188.8500,13397
GOOGL,2025-08-01 16:45:00,188.8700,188.9100,188.7800,188.8000,5032
GOOGL,2025-08-01 16:40:00,188.9000,188.9100,188.7812,188.9100,2886
GOOGL,2025-08-01 16:35:00,188.9000,188.9100,188.7800,188.8500,1582
GOOGL,2025-08-01 16:30:00,189.0600,189.1300,188.7800,188.8450,148805
GOOGL,2025-08-01 16:25:00,188.8936,189.0600,188.7800,189.0600,2121
GOOGL,2025-08-01 16:20:00,189.0300,189.1300,188.9700,188.9800,2402
GOOGL,2025-08-01 16:15:00,189.1300,189.1300,189.0000,189.0100,3693
GOOGL,2025-08-01 16:10:00,189.0498,189.1300,188.9500,189.0684,5980
GOOGL,2025-08-01 16:05:00,189.0090,189.1300,188.8700,189.0100,28127
GOOGL,2025-08-01 16:00:00,189.0850,189.1400,188.7500,189.0900,6665282
GOOGL,2025-08-01 15:55:00,188.9900,189.2500,188.8500,189.0850,1889089
GOOGL,2025-08-01 15:50:00,189.0000,189.3600,188.8000,188.9850,759218
GOOGL,2025-08-01 15:45:00,188.9000,189.1600,188.8600,188.9950,534229
GOOGL,2025-08-01 15:40:00,188.8300,188.9800,188.8100,188.9050,287932
GOOGL,2025-08-01 15:35:00,188.9600,188.9900,188.8100,188.8400,188567
GOOGL,2025-08-01 15:30:00,188.8300,189.0300,188.5500,188.9500,419349
GOOGL,2025-08-01 15:25:00,188.9200,188.9600,188.7950,188.8200,411077
GOOGL,2025-08-01 15:20:00,189.0050,189.0300,188.6550,188.9400,361129
GOOGL,2025-08-01 15:15:00,188.9500,189.0300,188.8600,189.0000,308559
GOOGL,2025-08-01 15:10:00,188.7300,188.9700,188.7000,188.9501,216934
GOOGL,2025-08-01 15:05:00,188.8900,189.0200,188.7100,188.7400,230542
GOOGL,2025-08-01 15:00:00,189.0000,189.1001,188.8450,188.9000,224653
GOOGL,2025-08-01 14:55:00,188.9400,189.1350,188.8000,189.0099,303239
GOOGL,2025-08-01 14:50:00,189.2550,189.2800,188.8900,188.9300,175907
GOOGL,2025-08-01 14:45:00,189.3450,189.3450,189.1450,189.2500,147861
GOOGL,2025-08-01 14:40:00,189.1700,189.3447,189.0950,189.3400,214615
GOOGL,2025-08-01 14:35:00,189.0200,189.1900,188.9900,189.1700,231440
GOOGL,2025-08-01 14:30:00,189.0600,189.2200,188.9776,189.0000,284611
GOOGL,2025-08-01 14:25:00,188.8300,189.1200,188.8000,189.0600,244161
GOOGL,2025-08-01 14:20:00,188.7600,188.8700,188.6800,188.8350,170918
