SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
GSIT,2025-10-20 10:03:00,13.0,13.45,14.8,14.8,734725.0,5.0,
GSIT,2025-10-20 10:05:00,13.0,13.45,14.8,14.8,734725.0,5.0,
GSIT,2025-10-20 10:10:00,14.81,15.15,17.49,17.49,1987743.0,5.0,
GSIT,2025-10-20 10:15:00,14.81,15.15,17.49,17.49,1987743.0,5.0,
GSIT,2025-10-20 10:20:00,13.76,15.53,17.08,13.76,2073271.0,5.0,
GSIT,2025-10-20 10:25:00,13.4,14.33,14.56,13.999,673201.0,5.0,
GSIT,2025-10-20 10:30:00,13.69,14.3684,14.749,13.86,336891.0,5.0,
GSIT,2025-10-20 10:35:00,13.3,13.88,14.16,13.5916,255238.0,5.0,
GSIT,2025-10-20 10:40:00,14.4401,14.53,15.15,15.15,436181.0,5.0,
GSIT,2025-10-20 10:45:00,15.2,15.61,16.21,15.2,537452.0,5.0,
GSIT,2025-10-20 10:50:00,14.62,16.18,17.56,14.62,1325877.0,5.0,
GSIT,2025-10-20 10:55:00,14.33,16.18,17.56,14.33,3120645.0,5.0,
GSIT,2025-10-20 11:00:00,14.17,14.32,14.9,14.78,231728.0,5.0,
GSIT,2025-10-20 11:05:00,14.43,14.67,14.95,14.61,133255.0,5.0,
GSIT,2025-10-20 11:10:00,13.76,14.6269,14.68,14.0152,308881.0,5.0,
GSIT,2025-10-20 11:15:00,13.4901,13.56,13.93,13.875,119897.0,5.0,
GSIT,2025-10-20 11:20:00,13.86,13.92,14.2,14.0051,216402.0,5.0,
GSIT,2025-10-20 11:25:00,14.09,14.63,14.75,14.3299,258558.0,5.0,
GSIT,2025-10-20 11:30:00,14.5,14.88,14.91,14.6101,171806.0,5.0,
GSIT,2025-10-20 11:35:00,15.8801,16.09,16.3,16.02,330306.0,5.0,
GSIT,2025-10-20 11:40:00,15.2631,15.39,15.76,15.55,296667.0,5.0,
GSIT,2025-10-20 11:45:00,16.55,16.78,17.0,16.7001,348467.0,5.0,
GSIT,2025-10-20 11:50:00,15.92,16.781,16.9389,16.04,376307.0,5.0,
GSIT,2025-10-20 11:55:00,15.8,16.199,16.22,16.0103,101541.0,5.0,
GSIT,2025-10-20 12:00:00,15.74,15.97,16.05,15.83,80368.0,5.0,
GSIT,2025-10-20 12:05:00,16.16,16.33,16.75,16.6,281248.0,5.0,
GSIT,2025-10-20 12:10:00,15.28,15.61,15.62,15.4266,115207.0,5.0,
GSIT,2025-10-20 12:15:00,15.15,15.26,15.39,15.23,52129.0,5.0,
GSIT,2025-10-20 12:20:00,15.1,15.35,15.39,15.1793,80118.0,5.0,
GSIT,2025-10-20 12:25:00,14.6,14.83,14.91,14.8432,149588.0,5.0,
GSIT,2025-10-20 12:30:00,15.07,15.19,15.21,15.08,56630.0,5.0,
GSIT,2025-10-20 12:35:00,14.58,15.06,15.08,14.635,250207.0,5.0,
GSIT,2025-10-20 12:40:00,14.56,14.6,14.79,14.79,84679.0,5.0,
GSIT,2025-10-20 12:45:00,14.01,14.3387,14.3768,14.01,176398.0,5.0,
GSIT,2025-10-20 12:50:00,13.75,13.9101,14.01,13.851,121260.0,5.0,
GSIT,2025-10-20 12:55:00,14.125,14.25,14.36,14.1384,112553.0,5.0,
GSIT,2025-10-20 13:00:00,14.67,14.8753,14.88,14.7,116526.0,5.0,
GSIT,2025-10-20 13:05:00,14.09,14.11,14.3,14.2549,89571.0,5.0,
GSIT,2025-10-20 13:10:00,14.06,14.09,14.23,14.15,92776.0,5.0,
GSIT,2025-10-20 13:15:00,14.43,14.57,14.76,14.675,147490.0,5.0,
GSIT,2025-10-20 13:20:00,14.18,14.2651,14.29,14.2891,33788.0,5.0,
GSIT,2025-10-20 13:25:00,14.05,14.085,14.37,14.225,106085.0,5.0,
GSIT,2025-10-20 13:30:00,13.6822,13.715,13.97,13.8112,114777.0,5.0,
GSIT,2025-10-20 13:35:00,12.75,13.1007,13.2,13.0792,157977.0,5.0,
GSIT,2025-10-20 13:40:00,12.8399,12.84,13.25,13.2001,203579.0,5.0,bought
GSIT,2025-10-20 13:45:00,12.83,12.939,13.2,13.125,225182.0,5.0,closed
GSIT,2025-10-20 13:51:00,12.93,12.95,13.12,13.055,62532.0,5.0,
GSIT,2025-10-20 13:55:00,13.3601,13.3909,13.45,13.4117,21213.0,5.0,
GSIT,2025-10-20 14:00:00,12.72,12.72,12.8,12.7791,6104.0,5.0,
GSIT,2025-10-20 14:05:00,12.1,12.22,12.2236,12.1443,12985.0,5.0,
GSIT,2025-10-20 14:10:00,12.48,12.48,12.495,12.495,2047.0,5.0,
GSIT,2025-10-20 14:15:00,12.8,12.8,12.8799,12.8536,12406.0,5.0,
GSIT,2025-10-20 14:20:00,13.4095,13.42,13.47,13.437,14340.0,5.0,
GSIT,2025-10-20 14:25:00,13.91,13.98,13.995,13.93,14093.0,5.0,
GSIT,2025-10-20 14:30:00,13.79,13.7904,13.9,13.879,29682.0,5.0,
GSIT,2025-10-20 14:35:00,13.46,13.46,13.6099,13.6099,9559.0,5.0,
GSIT,2025-10-20 14:40:00,13.39,13.5451,13.5451,13.425,27324.0,5.0,
GSIT,2025-10-20 14:45:00,13.602,13.61,13.79,13.7374,21171.0,5.0,bought
GSIT,2025-10-20 14:50:00,13.6,13.93,13.9699,13.6884,51103.0,5.0,closed
GSIT,2025-10-20 14:55:00,14.3,14.5299,14.55,14.34,83682.0,5.0,
GSIT,2025-10-20 15:00:00,14.15,14.3816,14.42,14.18,53553.0,5.0,
GSIT,2025-10-20 15:05:00,14.3323,14.36,14.49,14.4522,11240.0,5.0,
GSIT,2025-10-20 15:10:00,13.02,13.04,13.4,13.3403,106876.0,5.0,
GSIT,2025-10-20 15:15:00,13.29,13.3149,13.39,13.33,9821.0,5.0,
GSIT,2025-10-20 15:25:00,13.2305,13.29,13.33,13.2747,31908.0,5.0,
GSIT,2025-10-20 15:30:00,13.35,13.378174,13.63,13.47,101569.0,5.0,
GSIT,2025-10-20 15:35:00,13.34,13.4089,13.55,13.4882,49771.0,5.0,
GSIT,2025-10-20 15:40:00,13.01,13.0672,13.1499,13.0301,23841.0,5.0,
GSIT,2025-10-20 15:45:00,12.84,12.91,13.0,13.0,55741.0,5.0,
