SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
HESM,2025-08-22 09:30:00,41.595,41.78,41.79,41.725,33025.0,15.0
HESM,2025-08-22 09:45:00,41.65,41.7,41.76,41.69,24032.0,15.0
HESM,2025-08-22 10:00:00,41.63,41.69,41.8,41.71,14761.0,15.0
HESM,2025-08-22 10:15:00,41.625,41.71,41.745,41.675,14633.0,15.0
HESM,2025-08-22 10:30:00,41.61,41.7,41.7,41.645,11582.0,15.0
HESM,2025-08-22 10:45:00,41.61,41.645,41.68,41.63,6774.0,15.0
HESM,2025-08-22 11:00:00,41.56,41.63,41.68,41.6,7215.0,15.0
HESM,2025-08-22 11:15:00,41.59,41.6,41.655,41.65,4667.0,15.0
HESM,2025-08-22 11:30:00,41.61,41.64,41.665,41.64,6430.0,15.0
HESM,2025-08-22 11:45:00,41.63,41.63,41.73,41.68,17594.0,15.0
HESM,2025-08-22 12:00:00,41.61,41.68,41.72,41.64,12645.0,15.0
HESM,2025-08-22 12:15:00,41.5,41.63,41.64,41.5,5717.0,15.0
HESM,2025-08-22 12:30:00,41.5,41.51,41.58,41.55,27117.0,15.0
HESM,2025-08-22 12:45:00,41.5,41.545,41.58,41.575,52321.0,15.0
HESM,2025-08-22 13:00:00,41.46,41.58,41.58,41.485,8362.0,15.0
HESM,2025-08-22 13:15:00,41.44,41.475,41.49,41.44,15003.0,15.0
HESM,2025-08-22 13:30:00,41.42,41.45,41.52,41.5,3603.0,15.0
HESM,2025-08-22 13:45:00,41.39,41.49,41.49,41.39,5385.0,15.0
HESM,2025-08-22 14:00:00,41.38,41.4,41.42,41.38,8243.0,15.0
HESM,2025-08-22 14:15:00,41.39,41.39,41.5,41.46,4902.0,15.0
HESM,2025-08-22 14:30:00,41.46,41.48,41.51,41.49,2482.0,15.0
HESM,2025-08-22 14:45:00,41.47,41.485,41.51,41.51,5059.0,15.0
HESM,2025-08-22 15:00:00,41.49,41.505,41.53,41.519,16456.0,15.0
HESM,2025-08-22 15:15:00,41.435,41.51,41.51,41.435,6112.0,15.0
HESM,2025-08-22 15:30:00,41.37,41.435,41.435,41.4,39007.0,15.0
HESM,2025-08-22 15:45:00,41.33,41.405,41.445,41.44,82459.0,15.0
