SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
INHD,2025-08-26 09:39:25.413167,2.9,3.27,3.35,3.01,923483.0,15.0
INHD,2025-08-26 09:45:25.718246,3.2101,3.23,3.46,3.46,106033.0,15.0
INHD,2025-08-26 10:00:26.085508,3.25,3.26,3.26,3.2502,31929.0,15.0
INHD,2025-08-26 10:15:26.567632,3.2104,3.2104,3.2104,3.2104,1400.0,15.0
INHD,2025-08-26 10:30:29.292495,3.44,3.44,3.57,3.5601,40296.0,15.0
INHD,2025-08-26 10:45:32.017314,3.4206,3.4206,3.55,3.55,33921.0,15.0
INHD,2025-08-26 11:00:32.956367,3.4701,3.5,3.57,3.52,17280.0,15.0
INHD,2025-08-26 11:15:33.301286,3.34,3.51,3.51,3.355,14906.0,15.0
INHD,2025-08-26 11:30:36.564489,3.4307,3.4307,3.45,3.446,4850.0,15.0
INHD,2025-08-26 11:45:36.935493,3.34,3.4307,3.49,3.45,97581.0,15.0
INHD,2025-08-26 12:00:42.332022,3.35,3.4,3.4,3.3901,1940.0,15.0
INHD,2025-08-26 12:15:42.732641,3.35,3.4,3.48,3.3721,45090.0,15.0
INHD,2025-08-26 12:30:43.537198,3.31,3.315,3.3169,3.31,4488.0,15.0
INHD,2025-08-26 12:45:43.929911,3.27,3.315,3.41,3.34,72698.0,15.0
INHD,2025-08-26 13:00:44.932258,3.34,3.3428,3.3432,3.3432,720.0,15.0
INHD,2025-08-26 13:15:45.262457,3.34,3.3428,3.48,3.46,82919.0,15.0
INHD,2025-08-26 13:30:46.294011,3.44,3.45,3.452,3.45,1000.0,15.0
INHD,2025-08-26 13:45:46.661879,3.3903,3.45,3.48,3.41,45762.0,15.0
INHD,2025-08-26 14:00:47.443340,3.4,3.4,3.43,3.43,993.0,15.0
INHD,2025-08-26 14:15:47.762794,3.43,3.43,3.43,3.43,1432.0,15.0
INHD,2025-08-26 14:30:48.919773,3.51,3.51,3.51,3.51,375.0,15.0
INHD,2025-08-26 14:45:49.461654,3.5884,3.5884,3.5884,3.5884,135.0,15.0
INHD,2025-08-26 15:00:50.404736,3.56,3.56,3.58,3.58,450.0,15.0
INHD,2025-08-26 15:15:50.792260,3.81,3.8154,3.8299,3.81,6688.0,15.0
INHD,2025-08-26 15:30:51.840485,3.8203,3.8281,3.8281,3.8203,7344.0,15.0
INHD,2025-08-26 15:45:52.157608,3.7001,3.72,3.74,3.74,1354.0,15.0
INHD,2025-08-26 16:00:53.007286,3.76,4.03,4.03,3.76,11439.0,15.0
