SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
IXHL,2025-08-26 09:38:20.744139,0.83071,0.9123,0.9229,0.870899,29954944.0,15.0
IXHL,2025-08-26 09:45:21.064369,0.8385,0.8421,0.844,0.8385,704942.0,15.0
IXHL,2025-08-26 10:00:21.382368,0.8355,0.83755,0.8448,0.8381,1004799.0,15.0
IXHL,2025-08-26 10:15:22.405902,0.8195,0.8246,0.824799,0.8198,422484.0,15.0
IXHL,2025-08-26 10:30:29.191822,0.854501,0.8554,0.8581,0.8579,995705.0,15.0
IXHL,2025-08-26 10:45:32.017272,0.8447,0.8447,0.85,0.8488,262420.0,15.0
IXHL,2025-08-26 11:00:32.997869,0.816,0.8184,0.8192,0.8169,1311161.0,15.0
IXHL,2025-08-26 11:15:33.343421,0.8061,0.8067,0.8125,0.8101,337434.0,15.0
IXHL,2025-08-26 11:30:37.308867,0.7324,0.7501,0.7501,0.7332,2410388.0,15.0
IXHL,2025-08-26 11:45:37.996864,0.7827,0.785699,0.787,0.7841,631200.0,15.0
IXHL,2025-08-26 12:00:43.712806,0.7559,0.756,0.7607,0.7595,331743.0,15.0
IXHL,2025-08-26 12:15:44.060038,0.7451,0.7452,0.746,0.7452,211222.0,15.0
IXHL,2025-08-26 12:30:45.075860,0.7623,0.7623,0.77,0.77,658654.0,15.0
IXHL,2025-08-26 12:45:45.348376,0.7652,0.7667,0.7667,0.7657,121971.0,15.0
IXHL,2025-08-26 13:00:46.210032,0.7553,0.7588,0.7588,0.7553,420927.0,15.0
IXHL,2025-08-26 13:15:46.498715,0.7379,0.738,0.742,0.74199,433923.0,15.0
IXHL,2025-08-26 13:30:48.331024,0.693099,0.6931,0.6989,0.696,412888.0,15.0
IXHL,2025-08-26 13:45:48.676095,0.59,0.5957,0.6002,0.6,2432108.0,15.0
IXHL,2025-08-26 14:00:49.428047,0.66125,0.66125,0.6679,0.6626,233614.0,15.0
IXHL,2025-08-26 14:15:49.795350,0.646401,0.66075,0.6608,0.651401,544101.0,15.0
IXHL,2025-08-26 14:30:50.660488,0.6563,0.6565,0.66,0.6599,267300.0,15.0
IXHL,2025-08-26 14:45:50.998394,0.6599,0.66,0.66,0.6599,163700.0,15.0
IXHL,2025-08-26 15:00:52.126910,0.6836,0.6839,0.694,0.6939,609891.0,15.0
IXHL,2025-08-26 15:15:52.470008,0.730001,0.7359,0.744,0.7439,1262087.0,15.0
IXHL,2025-08-26 15:30:53.410488,0.6743,0.6743,0.6998,0.6998,1438096.0,15.0
IXHL,2025-08-26 15:45:53.690458,0.721,0.721,0.7248,0.7217,417477.0,15.0
IXHL,2025-08-26 16:00:54.498050,0.7087,0.7087,0.7264,0.7257,120473.0,15.0
