stock,timestamp,open,high,low,close,volume
MSFT,2025-08-01 19:55:00,523.6700,523.7800,523.5000,523.6600,1904
MSFT,2025-08-01 19:50:00,523.7772,523.7800,523.6700,523.6792,1300
MSFT,2025-08-01 19:45:00,523.7200,523.7800,523.6700,523.7800,1825
MSFT,2025-08-01 19:40:00,523.7250,523.7800,523.6700,523.7000,587
MSFT,2025-08-01 19:35:00,523.8100,523.9000,523.6700,523.7797,1677
MSFT,2025-08-01 19:30:00,523.6700,523.9000,523.6700,523.8900,291
MSFT,2025-08-01 19:25:00,523.8500,523.9000,523.6700,523.8000,543
MSFT,2025-08-01 19:20:00,523.9500,524.0000,523.6865,523.7850,842
MSFT,2025-08-01 19:15:00,524.0100,524.2000,523.9000,523.9975,1504
MSFT,2025-08-01 19:10:00,524.1200,524.4500,524.0000,524.1000,2434
MSFT,2025-08-01 19:05:00,524.2250,524.4500,524.0000,524.2250,211
MSFT,2025-08-01 19:00:00,524.1100,524.4500,524.0000,524.2200,449
MSFT,2025-08-01 18:55:00,524.4600,524.5900,524.0000,524.1200,1792
MSFT,2025-08-01 18:50:00,524.2950,524.5900,524.0000,524.2650,301
MSFT,2025-08-01 18:45:00,524.5900,524.5900,524.0000,524.3900,314
MSFT,2025-08-01 18:40:00,524.3500,524.5900,524.0000,524.2950,1212
MSFT,2025-08-01 18:35:00,524.4707,524.5900,524.1000,524.3500,657
MSFT,2025-08-01 18:30:00,524.4800,524.4800,524.1100,524.2950,716
MSFT,2025-08-01 18:25:00,524.3450,524.5900,524.1000,524.3900,483
MSFT,2025-08-01 18:20:00,524.6000,524.6000,524.1000,524.4000,1607
MSFT,2025-08-01 18:15:00,524.6000,524.7200,524.5200,524.6000,1194
MSFT,2025-08-01 18:10:00,524.6800,524.7100,524.5500,524.6100,551
MSFT,2025-08-01 18:05:00,524.6900,524.7100,524.5000,524.5700,682
MSFT,2025-08-01 18:00:00,524.7300,524.7500,524.5000,524.6900,435
MSFT,2025-08-01 17:55:00,524.5650,524.7500,524.1100,524.7300,4343
MSFT,2025-08-01 17:50:00,524.4300,524.7300,524.4000,524.5650,389
MSFT,2025-08-01 17:45:00,524.1800,524.6300,524.0712,524.4300,1027
MSFT,2025-08-01 17:40:00,524.7100,524.7394,508.2750,524.3200,1341
MSFT,2025-08-01 17:35:00,524.1000,524.9000,523.7500,524.7100,3143
MSFT,2025-08-01 17:30:00,524.2250,524.4500,523.7500,524.2400,718
MSFT,2025-08-01 17:25:00,524.0000,524.4500,500.9224,524.1900,592
MSFT,2025-08-01 17:20:00,523.8850,524.1100,508.2750,524.0000,633
MSFT,2025-08-01 17:15:00,523.6500,524.1100,500.9224,523.8850,906
MSFT,2025-08-01 17:10:00,523.9999,524.1100,500.6910,523.9025,4011
MSFT,2025-08-01 17:05:00,523.8250,524.0000,523.6500,523.8300,566
MSFT,2025-08-01 17:00:00,523.9650,524.0000,523.6500,523.8250,758
MSFT,2025-08-01 16:55:00,523.7600,524.1100,523.5000,524.0000,1673
