SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
NEUP,2025-10-24 10:00:00,7.348,7.3953,7.3953,7.3676,4695.0,5.0,
NEUP,2025-10-24 10:05:00,7.58,7.58,7.61,7.61,4268.0,5.0,
NEUP,2025-10-24 10:10:00,7.32,7.4127,7.4127,7.3451,21340.0,5.0,
NEUP,2025-10-24 10:15:00,6.43,7.4127,7.6,6.43,2149046.0,5.0,
NEUP,2025-10-24 10:20:00,6.3001,6.3178,6.34,6.34,8893.0,5.0,
NEUP,2025-10-24 10:25:00,6.67,6.68,6.75,6.7427,19897.0,5.0,
NEUP,2025-10-24 10:30:00,6.617,6.62,6.7,6.697,27606.0,5.0,
NEUP,2025-10-24 10:35:00,6.29,6.31,6.39,6.35,20746.0,5.0,
NEUP,2025-10-24 10:40:00,6.11,6.13,6.15,6.11,6878.0,5.0,
NEUP,2025-10-24 10:45:00,6.33,6.36,6.37,6.3533,8065.0,5.0,
NEUP,2025-10-24 10:50:00,6.38,6.3998,6.3998,6.38,1900.0,5.0,
NEUP,2025-10-24 10:55:00,6.23,6.23,6.28,6.2323,15955.0,5.0,
NEUP,2025-10-24 11:00:00,6.18,6.18,6.28,6.25,13385.0,5.0,
NEUP,2025-10-24 11:05:00,6.26,6.28,6.29,6.26,3798.0,5.0,
NEUP,2025-10-24 11:10:00,5.8,5.82,5.83,5.81,13073.0,5.0,
NEUP,2025-10-24 11:15:00,6.0099,6.0299,6.03,6.03,8820.0,5.0,
NEUP,2025-10-24 11:20:00,6.12,6.12,6.13,6.13,5713.0,5.0,
NEUP,2025-10-24 11:25:00,5.95,6.05,6.0644,5.97,12753.0,5.0,
NEUP,2025-10-24 11:30:00,6.075,6.084,6.13,6.0822,4096.0,5.0,
NEUP,2025-10-24 11:35:00,6.2001,6.2001,6.24,6.2001,2111.0,5.0,
NEUP,2025-10-24 11:40:00,6.42,6.42,6.48,6.4699,13265.0,5.0,bought
NEUP,2025-10-24 11:45:00,6.38,6.43,6.43,6.38,790.0,5.0,closed
NEUP,2025-10-24 12:00:00,6.17,6.2188,6.2425,6.2,14620.0,5.0,
NEUP,2025-10-24 12:05:00,6.1501,6.16,6.3,6.2948,18425.0,5.0,
NEUP,2025-10-24 12:10:00,6.3,6.31,6.36,6.3477,12651.0,5.0,
NEUP,2025-10-24 12:15:00,6.4105,6.44,6.45,6.42,9911.0,5.0,
NEUP,2025-10-24 12:20:00,6.4,6.4401,6.4401,6.4023,18242.0,5.0,
NEUP,2025-10-24 12:25:00,6.42,6.5793,6.5793,6.47,76696.0,5.0,
NEUP,2025-10-24 12:30:00,6.0801,6.11,6.2288,6.1778,41598.0,5.0,
NEUP,2025-10-24 12:35:00,6.1,6.1128,6.12,6.11,8110.0,5.0,
NEUP,2025-10-24 12:40:00,6.11,6.11,6.21,6.1335,25518.0,5.0,
NEUP,2025-10-24 12:45:00,6.05,6.08,6.08,6.05,11986.0,5.0,
NEUP,2025-10-24 12:50:00,5.971,6.0,6.0378,6.025,5409.0,5.0,
NEUP,2025-10-24 12:55:00,6.0252,6.0252,6.07,6.0408,18544.0,5.0,
NEUP,2025-10-24 13:00:00,6.09,6.1735,6.21,6.11,46768.0,5.0,
NEUP,2025-10-24 13:05:00,6.18,6.24,6.24,6.21,22090.0,5.0,
NEUP,2025-10-24 13:10:00,6.2,6.21,6.28,6.26,11604.0,5.0,
NEUP,2025-10-24 13:15:00,6.07,6.0801,6.11,6.095,9824.0,5.0,
NEUP,2025-10-24 13:20:00,6.15,6.17,6.1862,6.15,1680.0,5.0,
NEUP,2025-10-24 13:25:00,6.12,6.12,6.185,6.1801,3984.0,5.0,
NEUP,2025-10-24 13:30:00,6.24,6.24,6.31,6.31,25382.0,5.0,
NEUP,2025-10-24 13:35:00,6.1,6.14,6.18,6.11,17806.0,5.0,
NEUP,2025-10-24 13:40:00,5.9,6.0161,6.02,5.91,34924.0,5.0,
NEUP,2025-10-24 13:45:00,5.7656,5.86,5.92,5.85,68448.0,5.0,
NEUP,2025-10-24 13:50:00,5.66,5.75,5.7913,5.7913,42323.0,5.0,
NEUP,2025-10-24 13:55:00,5.8,5.85,5.85,5.84,7766.0,5.0,
NEUP,2025-10-24 14:00:00,5.9201,5.93,5.9876,5.9201,9149.0,5.0,
NEUP,2025-10-24 14:05:00,5.97,6.02,6.03,5.98,11474.0,5.0,
NEUP,2025-10-24 14:10:00,5.87,5.9101,5.96,5.91,13017.0,5.0,
NEUP,2025-10-24 14:15:00,5.95,5.95,6.03,6.02,23862.0,5.0,
NEUP,2025-10-24 14:20:00,5.96,5.96,6.02,6.0,7694.0,5.0,
NEUP,2025-10-24 14:25:00,5.95,5.95,6.0099,5.96,3365.0,5.0,
NEUP,2025-10-24 14:30:00,6.09,6.09,6.23,6.2,44020.0,5.0,
NEUP,2025-10-24 14:35:00,6.1001,6.15,6.16,6.1001,16557.0,5.0,
NEUP,2025-10-24 14:40:00,6.06,6.08,6.1499,6.08,13394.0,5.0,
NEUP,2025-10-24 14:46:00,5.81,6.0101,6.0101,5.87,35810.0,5.0,
NEUP,2025-10-24 14:50:00,5.81,6.0101,6.0101,5.9801,83286.0,5.0,
NEUP,2025-10-24 14:55:00,5.94,5.985,6.03,5.9501,88282.0,5.0,
NEUP,2025-10-24 15:00:00,6.21,6.23,6.26,6.21,3811.0,5.0,
NEUP,2025-10-24 15:05:00,6.17,6.2,6.2,6.18,3561.0,5.0,
NEUP,2025-10-24 15:10:00,6.17,6.2,6.24,6.2,34995.0,5.0,
NEUP,2025-10-24 15:15:00,6.18,6.18,6.19,6.19,200.0,5.0,
NEUP,2025-10-24 15:20:00,6.17,6.17,6.23,6.2,4378.0,5.0,
NEUP,2025-10-24 15:25:00,6.17,6.19,6.19,6.17,1424.0,5.0,
NEUP,2025-10-24 15:30:00,6.21,6.21,6.21,6.21,500.0,5.0,
NEUP,2025-10-24 15:35:00,6.3,6.3302,6.36,6.35,6856.0,5.0,
NEUP,2025-10-24 15:40:00,6.1909,6.1909,6.25,6.236,1133.0,5.0,
NEUP,2025-10-24 15:45:00,6.4,6.5,6.51,6.4799,16052.0,5.0,
