SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
NXL,2025-10-08 09:31:00,1.6901,1.83,1.95,0.9382,57125932.0,15.0
NXL,2025-10-08 09:32:00,1.78,1.8086,1.93,1.89,1424102.0,1.0
NXL,2025-10-08 09:33:00,1.85,1.9399,1.94,1.9013,1502023.0,1.0
NXL,2025-10-08 09:34:00,1.66,1.8412,1.87,1.695,2287508.0,1.0
NXL,2025-10-08 09:35:00,1.63,1.6401,1.71,1.7013,1028642.0,1.0
NXL,2025-10-08 09:36:00,1.66,1.7108,1.72,1.69,374254.0,1.0
NXL,2025-10-08 09:37:00,1.67,1.7262,1.74,1.67,361244.0,1.0
NXL,2025-10-08 09:38:00,1.58,1.605,1.66,1.61,552833.0,1.0
NXL,2025-10-08 09:39:00,1.54,1.585,1.59,1.5868,1083819.0,1.0
NXL,2025-10-08 09:40:00,1.6,1.62,1.68,1.6641,599735.0,1.0
NXL,2025-10-08 09:41:00,1.66,1.7,1.72,1.6603,531814.0,1.0
NXL,2025-10-08 09:42:00,1.61,1.61,1.74,1.74,555010.0,1.0
NXL,2025-10-08 09:43:00,1.64,1.665,1.71,1.7,398250.0,1.0
NXL,2025-10-08 09:45:00,1.68,1.6913,1.75,1.72,611860.0,1.0
NXL,2025-10-08 09:46:00,1.77,1.7968,1.89,1.85,2301478.0,1.0
NXL,2025-10-08 09:47:00,1.76,1.765,1.86,1.8011,904812.0,1.0
NXL,2025-10-08 09:48:00,1.79,1.84,1.87,1.85,1330947.0,1.0
NXL,2025-10-08 09:49:00,1.78,1.82,1.89,1.885,1250091.0,1.0
NXL,2025-10-08 09:50:00,1.79,1.8607,1.93,1.83,1887851.0,1.0
NXL,2025-10-08 09:51:00,1.78,1.815,1.82,1.79,684363.0,1.0
NXL,2025-10-08 09:52:00,1.75,1.7656,1.82,1.7958,469048.0,1.0
NXL,2025-10-08 09:53:00,1.77,1.8011,1.82,1.7721,381175.0,1.0
NXL,2025-10-08 09:54:00,1.76,1.79,1.829,1.82,543817.0,1.0
NXL,2025-10-08 09:55:00,1.77,1.8001,1.82,1.82,292206.0,1.0
NXL,2025-10-08 09:56:00,1.71,1.8,1.88,1.8699,1866347.0,1.0
NXL,2025-10-08 09:57:00,1.7801,1.83,1.87,1.84,616280.0,1.0
NXL,2025-10-08 09:58:00,1.73,1.86,1.93,1.775,2653314.0,1.0
NXL,2025-10-08 09:59:00,1.7413,1.77,1.8,1.7413,560213.0,1.0
NXL,2025-10-08 10:00:00,1.59,1.77,1.78,1.65,2036878.0,1.0
NXL,2025-10-08 10:01:00,1.67,1.69,1.7,1.685,323568.0,1.0
NXL,2025-10-08 10:02:00,1.67,1.681,1.76,1.7414,615559.0,1.0
NXL,2025-10-08 10:03:00,1.6,1.74,1.76,1.65,1177928.0,1.0
NXL,2025-10-08 10:04:00,1.65,1.6799,1.6799,1.65,264669.0,1.0
NXL,2025-10-08 10:05:00,1.62,1.6513,1.66,1.622,468381.0,1.0
NXL,2025-10-08 10:06:00,1.5601,1.57,1.66,1.6313,592871.0,1.0
NXL,2025-10-08 10:07:00,1.63,1.63,1.68,1.66,338346.0,1.0
NXL,2025-10-08 10:08:00,1.62,1.65,1.655,1.62,245148.0,1.0
NXL,2025-10-08 10:09:00,1.57,1.58,1.61,1.58,417203.0,1.0
NXL,2025-10-08 10:10:00,1.54,1.5987,1.61,1.555,548860.0,1.0
NXL,2025-10-08 10:11:00,1.56,1.57,1.59,1.5611,260824.0,1.0
NXL,2025-10-08 10:12:00,1.5,1.56,1.58,1.51,900786.0,1.0
NXL,2025-10-08 10:13:00,1.56,1.5648,1.6,1.6,527214.0,1.0
NXL,2025-10-08 10:14:00,1.59,1.615,1.62,1.5935,236056.0,1.0
NXL,2025-10-08 10:15:00,1.6052,1.608,1.63,1.63,318640.0,1.0
NXL,2025-10-08 10:16:00,1.61,1.614,1.66,1.66,345557.0,1.0
NXL,2025-10-08 10:17:00,1.63,1.63,1.67,1.6598,411274.0,1.0
NXL,2025-10-08 10:18:00,1.65,1.652,1.73,1.69,733546.0,1.0
NXL,2025-10-08 10:19:00,1.66,1.6909,1.7,1.6897,375025.0,1.0
NXL,2025-10-08 10:20:00,1.62,1.675,1.68,1.68,591808.0,1.0
NXL,2025-10-08 10:21:00,1.63,1.6699,1.67,1.641,276102.0,1.0
NXL,2025-10-08 10:22:00,1.61,1.6187,1.66,1.65,234983.0,1.0
NXL,2025-10-08 10:23:00,1.55,1.62,1.63,1.5703,673924.0,1.0
NXL,2025-10-08 10:24:00,1.57,1.58,1.62,1.57,212834.0,1.0
NXL,2025-10-08 10:25:00,1.53,1.5601,1.57,1.56,400216.0,1.0
NXL,2025-10-08 10:26:00,1.56,1.57,1.5999,1.58,235659.0,1.0
NXL,2025-10-08 10:27:00,1.57,1.5903,1.6,1.572,101426.0,1.0
NXL,2025-10-08 10:28:00,1.53,1.5644,1.58,1.58,453365.0,1.0
NXL,2025-10-08 10:29:00,1.56,1.5711,1.58,1.5787,171252.0,1.0
NXL,2025-10-08 10:30:00,1.56,1.6,1.61,1.59,429735.0,1.0
NXL,2025-10-08 10:31:00,1.53,1.5808,1.62,1.6,786114.0,1.0
NXL,2025-10-08 10:32:00,1.57,1.6099,1.62,1.585,448951.0,1.0
NXL,2025-10-08 10:33:00,1.57,1.6,1.6,1.58,162707.0,1.0
NXL,2025-10-08 10:34:00,1.52,1.5811,1.59,1.55,472509.0,1.0
NXL,2025-10-08 10:35:00,1.57,1.58,1.62,1.6,421708.0,1.0
NXL,2025-10-08 10:36:00,1.57,1.595,1.62,1.59,302409.0,1.0
NXL,2025-10-08 10:37:00,1.54,1.54,1.58,1.575,263780.0,1.0
NXL,2025-10-08 10:38:00,1.57,1.58,1.6,1.581,96805.0,1.0
NXL,2025-10-08 10:39:00,1.46,1.58,1.62,1.5335,2064168.0,1.0
NXL,2025-10-08 10:40:00,1.505,1.5256,1.53,1.515,364364.0,1.0
NXL,2025-10-08 10:41:00,1.5,1.51,1.53,1.512,344090.0,1.0
NXL,2025-10-08 10:42:00,1.47,1.5,1.53,1.48,592038.0,1.0
NXL,2025-10-08 10:43:00,1.46,1.49,1.5,1.485,363879.0,1.0
NXL,2025-10-08 10:44:00,1.47,1.48,1.545,1.54,464427.0,1.0
NXL,2025-10-08 10:45:00,1.52,1.5452,1.56,1.535,397309.0,1.0
NXL,2025-10-08 10:46:00,1.52,1.5317,1.55,1.545,190475.0,1.0
NXL,2025-10-08 10:47:00,1.54,1.549,1.57,1.5414,361865.0,1.0
NXL,2025-10-08 10:48:00,1.5414,1.55,1.58,1.5799,366577.0,1.0
NXL,2025-10-08 10:49:00,1.57,1.57,1.6,1.6,369228.0,1.0
NXL,2025-10-08 10:50:00,1.58,1.61,1.61,1.6,285462.0,1.0
NXL,2025-10-08 10:51:00,1.59,1.6,1.62,1.6169,265929.0,1.0
NXL,2025-10-08 10:52:00,1.6,1.6088,1.61,1.6091,271996.0,1.0
NXL,2025-10-08 10:53:00,1.58,1.5903,1.6,1.6,172504.0,1.0
NXL,2025-10-08 10:54:00,1.56,1.595,1.6,1.57,140098.0,1.0
NXL,2025-10-08 10:55:00,1.57,1.58,1.58,1.57,71040.0,1.0
NXL,2025-10-08 10:56:00,1.53,1.5611,1.57,1.5401,321139.0,1.0
NXL,2025-10-08 10:57:00,1.53,1.545,1.55,1.53,103879.0,1.0
NXL,2025-10-08 10:58:00,1.53,1.5391,1.56,1.54,154283.0,1.0
NXL,2025-10-08 10:59:00,1.53,1.55,1.56,1.5301,130667.0,1.0
NXL,2025-10-08 11:01:00,1.5,1.5,1.515,1.51,89405.0,1.0
NXL,2025-10-08 11:02:00,1.51,1.53,1.53,1.51,72588.0,1.0
NXL,2025-10-08 11:03:00,1.5113,1.52,1.53,1.5202,45291.0,1.0
NXL,2025-10-08 11:04:00,1.515,1.5197,1.54,1.5301,63311.0,1.0
NXL,2025-10-08 11:05:00,1.5,1.5353,1.54,1.5,226126.0,1.0
NXL,2025-10-08 11:06:00,1.51,1.52,1.53,1.52,29153.0,1.0
NXL,2025-10-08 11:07:00,1.51,1.515,1.52,1.52,22693.0,1.0
NXL,2025-10-08 11:08:00,1.5,1.51,1.53,1.521,96160.0,1.0
NXL,2025-10-08 11:09:00,1.51,1.51,1.52,1.51,47018.0,1.0
NXL,2025-10-08 11:10:00,1.5,1.51,1.52,1.5001,55462.0,1.0
