SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
OPEN,2025-08-25 09:39:00.521929,4.86,4.95,5.23,5.2101,45801168.0,15.0
OPEN,2025-08-25 09:45:00.804349,5.17,5.1799,5.1799,5.17,7051.0,15.0
OPEN,2025-08-25 10:00:01.167999,5.16,5.17,5.17,5.16,7500.0,15.0
OPEN,2025-08-25 10:15:01.791255,5.1601,5.1646,5.1699,5.1699,4095.0,15.0
OPEN,2025-08-25 10:30:02.631055,5.25,5.265,5.27,5.2601,154201.0,15.0
OPEN,2025-08-25 10:45:03.049056,5.55,5.565,5.58,5.565,265209.0,15.0
OPEN,2025-08-25 11:00:04.099167,5.53,5.57,5.58,5.545,644817.0,15.0
OPEN,2025-08-25 11:15:04.580596,5.58,5.5835,5.6,5.5891,106601.0,15.0
OPEN,2025-08-25 11:30:05.506843,5.61,5.615,5.62,5.615,59457.0,15.0
OPEN,2025-08-25 11:45:05.958767,5.78,5.785,5.79,5.785,81109.0,15.0
OPEN,2025-08-25 12:00:07.064735,5.69,5.6975,5.6999,5.6999,96954.0,15.0
OPEN,2025-08-25 12:15:07.487230,5.7501,5.7679,5.77,5.7503,80898.0,15.0
OPEN,2025-08-25 12:30:08.402464,5.75,5.755,5.77,5.7698,98540.0,15.0
OPEN,2025-08-25 12:45:08.924814,5.685,5.6999,5.6999,5.685,52227.0,15.0
OPEN,2025-08-25 13:00:09.981496,5.76,5.765,5.78,5.77,179477.0,15.0
OPEN,2025-08-25 13:15:10.348563,5.49,5.4937,5.51,5.505,292856.0,15.0
OPEN,2025-08-25 13:30:11.358521,5.17,5.185,5.23,5.2217,600527.0,15.0
OPEN,2025-08-25 13:45:11.704739,5.34,5.37,5.38,5.3642,351359.0,15.0
OPEN,2025-08-25 14:00:12.553535,5.2801,5.3,5.32,5.315,101802.0,15.0
OPEN,2025-08-25 14:15:12.847868,5.27,5.275,5.3,5.2825,239488.0,15.0
OPEN,2025-08-25 14:30:15.121359,4.97,4.97,5.03,5.03,570487.0,15.0
OPEN,2025-08-25 14:45:16.018964,4.94,4.945,4.95,4.9401,218912.0,15.0
OPEN,2025-08-25 15:00:17.097669,4.9935,5.0,5.02,5.005,267419.0,15.0
OPEN,2025-08-25 15:15:17.795364,5.12,5.15,5.15,5.1312,573772.0,15.0
OPEN,2025-08-25 15:30:19.116609,4.9701,4.9701,5.0,4.9992,334623.0,15.0
OPEN,2025-08-25 15:45:19.515064,4.87,4.8858,4.89,4.89,487607.0,15.0
OPEN,2025-08-25 16:00:20.614197,4.53,4.54,4.68,4.58,1605494.0,15.0
