stock,timestamp,open,high,low,close,volume
QQQ,2025-08-01 19:45:00,553.0500,553.2000,553.0000,553.0300,14080
QQQ,2025-08-01 19:30:00,553.1700,553.3000,553.0500,553.1700,7404
QQQ,2025-08-01 19:15:00,553.3800,553.3900,553.1600,553.1700,4992
QQQ,2025-08-01 19:00:00,553.7200,553.8800,553.3500,553.3500,9917
QQQ,2025-08-01 18:45:00,553.5950,553.8800,553.5000,553.8800,16007
QQQ,2025-08-01 18:30:00,553.8500,554.0000,553.5800,553.5900,10225
QQQ,2025-08-01 18:15:00,554.0800,554.1800,553.8200,553.8500,11307
QQQ,2025-08-01 18:00:00,554.1500,554.1500,553.9000,554.0700,19237
QQQ,2025-08-01 17:45:00,554.0050,554.2900,553.9200,554.1400,18162
QQQ,2025-08-01 17:30:00,553.8500,554.1700,532.8758,554.0050,14437
QQQ,2025-08-01 17:15:00,553.5700,553.9300,532.8758,553.8800,17077
QQQ,2025-08-01 17:00:00,553.6000,553.9300,553.4300,553.5700,99751
QQQ,2025-08-01 16:45:00,553.7900,553.8100,553.5204,553.6200,134899
QQQ,2025-08-01 16:30:00,553.9717,554.0000,553.7200,553.8100,95649
QQQ,2025-08-01 16:15:00,553.8800,555.6250,553.7700,554.0092,287801
QQQ,2025-08-01 16:00:00,553.8500,554.4636,553.6400,554.1550,4705055
QQQ,2025-08-01 15:45:00,553.9800,555.4300,553.5800,553.8500,5281058
QQQ,2025-08-01 15:30:00,553.7800,554.1400,552.8100,553.9900,2029178
QQQ,2025-08-01 15:15:00,553.7200,554.3400,553.3600,553.7800,1265458
QQQ,2025-08-01 15:00:00,553.6200,554.0893,553.2200,553.7400,1284017
QQQ,2025-08-01 14:45:00,555.3050,555.3584,553.0800,553.6009,1740713
QQQ,2025-08-01 14:30:00,554.1200,555.3400,553.8700,555.3018,1388058
QQQ,2025-08-01 14:15:00,552.0400,554.3000,552.0150,554.1200,1459453
QQQ,2025-08-01 14:00:00,552.9900,553.2400,551.6800,552.0550,1980836
QQQ,2025-08-01 13:45:00,553.1700,553.7000,552.6000,553.0100,1112249
QQQ,2025-08-01 13:30:00,553.1100,553.8900,552.6800,553.2000,1414067
QQQ,2025-08-01 13:15:00,553.4300,553.7614,552.8400,553.1300,1364015
QQQ,2025-08-01 13:00:00,553.8300,554.3000,553.2000,553.4350,2350687
QQQ,2025-08-01 12:45:00,555.8500,556.3350,553.6800,553.8400,1635614
QQQ,2025-08-01 12:30:00,556.9600,557.2200,555.6900,555.8800,1300218
