SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
QQQ,2025-08-15 00:33:59.744063,577.91,578.28,579.91,579.9,3185104.0,15.0
QQQ,2025-08-15 00:34:00.087237,579.3,579.89,580.8,580.19,2216245.0,15.0
QQQ,2025-08-15 00:34:00.514463,579.45,580.2,580.33,579.59,1246330.0,15.0
QQQ,2025-08-15 00:34:00.840277,579.57,579.6,580.6899,580.58,1138203.0,15.0
QQQ,2025-08-15 00:34:01.183117,580.57,580.57,581.49,581.33,1084522.0,15.0
QQQ,2025-08-15 00:34:01.499329,580.33,581.32,581.88,580.6822,1207621.0,15.0
QQQ,2025-08-15 00:34:01.749790,580.0099,580.68,580.79,580.22,919071.0,15.0
QQQ,2025-08-15 00:34:02.154757,578.45,580.2,580.5699,579.04,1313531.0,15.0
QQQ,2025-08-15 00:34:02.464563,578.66,579.04,579.455,579.02,953136.0,15.0
QQQ,2025-08-15 00:34:02.757564,578.88,579.02,580.34,580.1,1243623.0,15.0
QQQ,2025-08-15 00:34:03.065922,578.48,580.09,580.15,578.55,1090636.0,15.0
QQQ,2025-08-15 00:34:03.609423,578.46,578.52,579.57,578.94,850795.0,15.0
QQQ,2025-08-15 00:34:03.973754,578.93,578.93,579.76,579.4601,781593.0,15.0
QQQ,2025-08-15 00:34:04.246374,579.34,579.43,580.55,580.46,1008425.0,15.0
QQQ,2025-08-15 00:34:04.790719,580.3301,580.46,580.815,580.815,633787.0,15.0
QQQ,2025-08-15 00:34:05.150281,580.6221,580.815,581.23,581.16,696764.0,15.0
QQQ,2025-08-15 00:34:05.509121,580.27,581.17,581.19,580.6,751064.0,15.0
QQQ,2025-08-15 00:34:06.072840,580.2475,580.59,580.93,580.83,659182.0,15.0
QQQ,2025-08-15 00:34:06.389306,579.52,580.84,580.84,579.57,700178.0,15.0
QQQ,2025-08-15 00:34:06.721526,579.265,579.57,579.94,579.41,887682.0,15.0
QQQ,2025-08-15 00:34:07.043247,579.18,579.41,579.76,579.73,588293.0,15.0
QQQ,2025-08-15 00:34:07.357500,579.62,579.74,580.2398,579.91,808942.0,15.0
QQQ,2025-08-15 00:34:07.740411,579.75,579.9,580.15,579.98,635562.0,15.0
QQQ,2025-08-15 00:34:08.247487,579.7707,579.97,580.4,580.01,740208.0,15.0
QQQ,2025-08-15 00:34:08.904685,579.815,579.99,580.48,580.38,967638.0,15.0
QQQ,2025-08-15 00:34:09.270142,579.84,580.37,580.745,579.86,2414628.0,15.0
QQQ,2025-08-15 00:34:09.535886,580.32,580.37,580.745,580.6256,664682.0,5.0
QQQ,2025-08-15 00:34:09.836933,579.05,579.45,579.59,579.05,17479.0,15.0
QQQ,2025-08-15 00:34:10.232293,579.05,579.45,579.59,579.05,17479.0,15.0
QQQ,2025-08-15 00:34:10.550611,579.05,579.45,579.59,579.05,17479.0,15.0
QQQ,2025-08-15 00:34:10.805342,579.05,579.45,579.59,579.05,17479.0,15.0
