SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
RANI,2025-10-17 11:40:00,1.66,1.79,1.88,1.8473,16749042.0,1.0,
RANI,2025-10-17 11:41:00,1.87,1.939,1.95,1.918,1897565.0,1.0,
RANI,2025-10-17 11:42:00,1.92,1.93,1.96,1.95,1452717.0,1.0,
RANI,2025-10-17 11:43:00,1.92,1.96,1.99,1.96,1905220.0,1.0,
RANI,2025-10-17 11:44:00,1.97,1.99,2.06,2.06,2144730.0,1.0,
RANI,2025-10-17 11:45:00,1.97,1.99,2.06,2.06,2144730.0,1.0,
RANI,2025-10-17 11:46:00,1.97,1.99,2.06,2.06,2144730.0,1.0,
RANI,2025-10-17 11:47:00,1.97,1.99,2.06,2.06,2144730.0,1.0,
RANI,2025-10-17 11:48:00,1.97,1.99,2.06,2.06,2144730.0,1.0,
RANI,2025-10-17 11:49:00,2.04,2.06,2.2,2.0763,1263708.0,1.0,
RANI,2025-10-17 11:50:00,2.21,2.21,2.21,2.21,216878.0,1.0,
RANI,2025-10-17 11:51:00,2.21,2.21,2.21,2.21,216878.0,1.0,
RANI,2025-10-17 11:52:00,2.21,2.21,2.21,2.21,216878.0,1.0,
RANI,2025-10-17 11:53:00,2.21,2.21,2.21,2.21,216878.0,1.0,
RANI,2025-10-17 11:54:00,2.21,2.21,2.21,2.21,216878.0,1.0,
RANI,2025-10-17 11:55:00,2.14,2.29,2.39,2.14,4146933.0,1.0,
RANI,2025-10-17 11:56:00,2.1301,2.29,2.39,2.14,4206435.0,1.0,
RANI,2025-10-17 11:57:00,2.1301,2.29,2.39,2.14,4206435.0,1.0,
RANI,2025-10-17 11:58:00,2.1301,2.29,2.39,2.14,4206435.0,1.0,
RANI,2025-10-17 11:59:00,2.1301,2.29,2.39,2.14,4206435.0,1.0,
RANI,2025-10-17 12:00:00,2.1301,2.29,2.39,2.14,4206435.0,1.0,
