SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
SOFI,2025-08-22 09:30:00,22.9,23.16,23.3274,23.32,3555562.0,15.0
SOFI,2025-08-22 09:45:00,23.13,23.32,23.43,23.17,2171254.0,15.0
SOFI,2025-08-22 10:00:00,23.17,23.17,24.43,24.385,10953267.0,15.0
SOFI,2025-08-22 10:15:00,23.895,24.39,24.62,24.18,8019967.0,15.0
SOFI,2025-08-22 10:30:00,24.1526,24.18,24.65,24.635,5282335.0,15.0
SOFI,2025-08-22 10:45:00,24.63,24.64,25.07,24.91,8972130.0,15.0
SOFI,2025-08-22 11:00:00,24.895,24.905,25.25,24.985,6405452.0,15.0
SOFI,2025-08-22 11:15:00,24.84,24.9847,25.09,24.9999,3949900.0,15.0
SOFI,2025-08-22 11:30:00,24.81,24.995,25.035,24.8599,2870550.0,15.0
SOFI,2025-08-22 11:45:00,24.78,24.86,24.99,24.93,2260031.0,15.0
SOFI,2025-08-22 12:00:00,24.86,24.93,25.13,24.915,2932690.0,15.0
SOFI,2025-08-22 12:15:00,24.8,24.91,25.04,24.96,2465206.0,15.0
SOFI,2025-08-22 12:30:00,24.9102,24.96,25.03,24.9593,2053530.0,15.0
SOFI,2025-08-22 12:45:00,24.94,24.96,25.1,25.08,2348021.0,15.0
SOFI,2025-08-22 13:00:00,25.06,25.085,25.23,25.1326,2840808.0,15.0
SOFI,2025-08-22 13:15:00,25.07,25.1327,25.1884,25.145,1798755.0,15.0
SOFI,2025-08-22 13:30:00,25.0942,25.145,25.19,25.1613,1436883.0,15.0
SOFI,2025-08-22 13:45:00,25.08,25.1642,25.22,25.08,2367085.0,15.0
SOFI,2025-08-22 14:00:00,24.98,25.08,25.18,24.99,2500794.0,15.0
SOFI,2025-08-22 14:15:00,24.93,24.985,25.04,24.96,2359452.0,15.0
SOFI,2025-08-22 14:30:00,24.9,24.965,25.01,24.94,1312702.0,15.0
SOFI,2025-08-22 14:45:00,24.85,24.94,24.95,24.925,1514961.0,15.0
SOFI,2025-08-22 15:00:00,24.92,24.925,25.05,25.0281,2176049.0,15.0
SOFI,2025-08-22 15:15:00,24.99,25.0265,25.05,25.02,1831814.0,15.0
SOFI,2025-08-22 15:30:00,24.97,25.015,25.05,25.005,2354514.0,15.0
SOFI,2025-08-22 15:45:00,24.94,25.01,25.087,25.0,5011458.0,15.0
