SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
TNON,2025-08-22 09:30:00,1.46,1.48,1.52,1.5008,115710.0,15.0
TNON,2025-08-22 09:45:00,1.49,1.5006,1.5199,1.5,11168.0,15.0
TNON,2025-08-22 10:00:00,1.5,1.5,1.55,1.55,36824.0,15.0
TNON,2025-08-22 10:15:00,1.54,1.5496,1.5701,1.545,31258.0,15.0
TNON,2025-08-22 10:30:00,1.5201,1.5497,1.5497,1.525,29680.0,15.0
TNON,2025-08-22 10:45:00,1.52,1.5299,1.53,1.52,11473.0,15.0
TNON,2025-08-22 11:00:00,1.5103,1.53,1.53,1.5103,6632.0,15.0
TNON,2025-08-22 11:15:00,1.49,1.51,1.51,1.5036,24266.0,15.0
TNON,2025-08-22 11:30:00,1.49,1.505,1.505,1.49,16373.0,15.0
TNON,2025-08-22 11:45:00,1.49,1.49,1.5,1.5,6991.0,15.0
TNON,2025-08-22 12:00:00,1.495,1.495,1.52,1.515,51573.0,15.0
TNON,2025-08-22 12:15:00,1.51,1.515,1.52,1.51,11979.0,15.0
TNON,2025-08-22 12:30:00,1.5,1.5,1.5,1.5,5000.0,15.0
TNON,2025-08-22 12:45:00,1.5,1.51,1.51,1.5001,5391.0,15.0
TNON,2025-08-22 13:00:00,1.5,1.5,1.5099,1.5,6736.0,15.0
TNON,2025-08-22 13:15:00,1.5,1.5,1.505,1.5,3400.0,15.0
TNON,2025-08-22 13:30:00,1.5,1.5,1.505,1.5001,2946.0,15.0
TNON,2025-08-22 13:45:00,1.5001,1.5001,1.51,1.505,2555.0,15.0
TNON,2025-08-22 14:00:00,1.5004,1.5004,1.51,1.51,1493.0,15.0
TNON,2025-08-22 14:15:00,1.5005,1.51,1.51,1.5005,1110.0,15.0
TNON,2025-08-22 14:30:00,1.5005,1.5005,1.5195,1.51,5704.0,15.0
TNON,2025-08-22 14:45:00,1.5003,1.5003,1.51,1.51,1636.0,15.0
TNON,2025-08-22 15:00:00,1.51,1.51,1.5104,1.5104,1250.0,15.0
TNON,2025-08-22 15:15:00,1.51,1.5105,1.5105,1.51,300.0,15.0
TNON,2025-08-22 15:30:00,1.51,1.5104,1.5199,1.513,3629.0,15.0
TNON,2025-08-22 15:45:00,1.49,1.51,1.51,1.49,18344.0,15.0
