SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
VTYX,2025-10-23 14:40:00,7.02,7.06,7.2999,7.245,878483.0,5.0,
VTYX,2025-10-23 14:45:00,7.2,7.235,7.24,7.215,66485.0,5.0,
VTYX,2025-10-23 14:50:00,7.2303,7.25,7.26,7.235,36639.0,5.0,
VTYX,2025-10-23 14:55:00,7.2301,7.245,7.25,7.235,41750.0,5.0,
VTYX,2025-10-23 15:00:00,7.01,7.04,7.0699,7.0699,89537.0,5.0,
VTYX,2025-10-23 15:05:00,7.05,7.06,7.095,7.08,36224.0,5.0,
VTYX,2025-10-23 15:10:00,7.11,7.11,7.17,7.1683,84634.0,5.0,bought
VTYX,2025-10-23 15:15:00,7.08,7.085,7.11,7.095,31942.0,5.0,closed
VTYX,2025-10-23 15:20:00,6.94,7.06,7.06,6.9898,107920.0,5.0,
VTYX,2025-10-23 15:25:00,6.96,6.9801,6.99,6.97,34478.0,5.0,
VTYX,2025-10-23 15:30:00,6.94,6.955,6.965,6.945,75038.0,5.0,
VTYX,2025-10-23 15:35:00,6.85,6.91,6.92,6.8564,108900.0,5.0,
VTYX,2025-10-23 15:40:00,6.8,6.805,6.9,6.865,170405.0,5.0,
VTYX,2025-10-23 15:45:00,6.77,6.855,6.86,6.84,143680.0,5.0,
