SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
YYAI,2025-10-22 11:05:00,0.16,0.170001,0.1706,0.166,10337975.0,5.0,
YYAI,2025-10-22 11:10:00,0.158,0.15925,0.1593,0.158958,106148.0,5.0,
YYAI,2025-10-22 11:15:00,0.1627,0.16295,0.163,0.1629,71113.0,5.0,
YYAI,2025-10-22 11:20:00,0.166,0.168,0.168,0.167021,213856.0,5.0,
YYAI,2025-10-22 11:25:00,0.16,0.1614,0.1615,0.1609,95555.0,5.0,
YYAI,2025-10-22 11:30:00,0.1586,0.1592,0.1598,0.1591,258625.0,5.0,
YYAI,2025-10-22 11:35:00,0.158,0.1585,0.1585,0.15805,143227.0,5.0,
YYAI,2025-10-22 11:40:00,0.1474,0.14885,0.1489,0.1487,358152.0,5.0,
YYAI,2025-10-22 11:45:00,0.152,0.152649,0.1533,0.1533,309320.0,5.0,
YYAI,2025-10-22 11:50:00,0.1472,0.1481,0.1481,0.1472,723871.0,5.0,
YYAI,2025-10-22 11:55:00,0.1489,0.1489,0.1509,0.1505,253710.0,5.0,
YYAI,2025-10-22 12:00:00,0.141701,0.14195,0.1434,0.143,600054.0,5.0,
YYAI,2025-10-22 12:05:00,0.136,0.1375,0.1375,0.136699,293340.0,5.0,
YYAI,2025-10-22 12:10:00,0.1381,0.1394,0.1394,0.13825,382847.0,5.0,
YYAI,2025-10-22 12:15:00,0.1434,0.1434,0.1439,0.1435,182258.0,5.0,
YYAI,2025-10-22 12:20:00,0.1434,0.1434,0.144,0.144,111205.0,5.0,
YYAI,2025-10-22 12:25:00,0.14,0.14015,0.141,0.1408,214162.0,5.0,
YYAI,2025-10-22 12:30:00,0.1389,0.139,0.1395,0.139,483270.0,5.0,
YYAI,2025-10-22 12:35:00,0.1274,0.1294,0.1311,0.1294,475467.0,5.0,
YYAI,2025-10-22 12:40:00,0.1233,0.1234,0.1241,0.124,371023.0,5.0,
YYAI,2025-10-22 12:45:00,0.1203,0.1206,0.121,0.1205,568265.0,5.0,
YYAI,2025-10-22 12:50:00,0.125,0.12595,0.12641,0.125542,521225.0,5.0,
YYAI,2025-10-22 12:55:00,0.1262,0.1262,0.127,0.1266,143296.0,5.0,
YYAI,2025-10-22 13:00:00,0.14,0.1435,0.144,0.1416,2031885.0,5.0,
YYAI,2025-10-22 13:05:00,0.1335,0.134,0.1349,0.134,398420.0,5.0,
YYAI,2025-10-22 13:10:00,0.1395,0.1399,0.141,0.14035,225230.0,5.0,
YYAI,2025-10-22 13:15:00,0.1395,0.1407,0.1409,0.13965,587526.0,5.0,
YYAI,2025-10-22 13:20:00,0.1386,0.13865,0.1399,0.1399,224120.0,5.0,
YYAI,2025-10-22 13:25:00,0.1391,0.1396,0.1404,0.1403,274527.0,5.0,
YYAI,2025-10-22 13:30:00,0.1509,0.1509,0.1525,0.1515,1322796.0,5.0,
YYAI,2025-10-22 13:35:00,0.1518,0.1518,0.153499,0.1526,758978.0,5.0,
YYAI,2025-10-22 13:40:00,0.1584,0.16005,0.1616,0.158401,1671934.0,5.0,
YYAI,2025-10-22 13:45:00,0.1593,0.1595,0.1614,0.1609,1572259.0,5.0,
YYAI,2025-10-22 13:50:00,0.1505,0.1515,0.155,0.155,1016559.0,5.0,
YYAI,2025-10-22 13:55:00,0.1549,0.1568,0.1594,0.1594,1584141.0,5.0,
YYAI,2025-10-22 14:00:00,0.1556,0.1579,0.158,0.158,430438.0,5.0,
YYAI,2025-10-22 14:05:00,0.151501,0.1518,0.1529,0.1526,457053.0,5.0,
YYAI,2025-10-22 14:10:00,0.1553,0.1566,0.15675,0.1556,366464.0,5.0,
YYAI,2025-10-22 14:15:00,0.153,0.156146,0.1562,0.1541,588996.0,5.0,
YYAI,2025-10-22 14:20:00,0.151,0.151931,0.152,0.15105,202459.0,5.0,
YYAI,2025-10-22 14:25:00,0.1541,0.1551,0.1554,0.1541,635979.0,5.0,
YYAI,2025-10-22 14:30:00,0.157,0.1575,0.1597,0.159,763471.0,5.0,
YYAI,2025-10-22 14:35:00,0.164,0.1669,0.167,0.1656,1773326.0,5.0,
YYAI,2025-10-22 14:40:00,0.1735,0.1759,0.176,0.1735,1466058.0,5.0,
YYAI,2025-10-22 14:45:00,0.1722,0.177,0.177,0.1734,2132140.0,5.0,
YYAI,2025-10-22 14:50:00,0.1843,0.1883,0.189,0.18725,4424062.0,5.0,
YYAI,2025-10-22 14:55:00,0.18,0.1804,0.1827,0.1806,1519694.0,5.0,
YYAI,2025-10-22 15:00:00,0.1791,0.18115,0.1817,0.1791,2058550.0,5.0,
YYAI,2025-10-22 15:05:00,0.1721,0.1743,0.1743,0.1722,610170.0,5.0,
YYAI,2025-10-22 15:10:00,0.1775,0.181,0.1817,0.178699,1859769.0,5.0,
YYAI,2025-10-22 15:15:00,0.182501,0.1826,0.185,0.185,1555614.0,5.0,
YYAI,2025-10-22 15:20:00,0.1862,0.1868,0.1898,0.1878,1527099.0,5.0,
YYAI,2025-10-22 15:25:00,0.1867,0.187,0.1883,0.1883,1360749.0,5.0,
YYAI,2025-10-22 15:30:00,0.1849,0.1858,0.187,0.1869,1262198.0,5.0,
YYAI,2025-10-22 15:35:00,0.1802,0.1807,0.1839,0.1837,1674119.0,5.0,
YYAI,2025-10-22 15:40:00,0.182,0.1833,0.1836,0.1833,1158785.0,5.0,
YYAI,2025-10-22 15:45:00,0.1832,0.1833,0.188,0.188,3596528.0,5.0,
